BPM_CALMO: 54
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
10182, 0, 0
12423, 0, 0
14663, 0, 0
16904, 0, 0
19145, 0, 0
21386, 0, 0
23638, 0, 0
25879, 0, 0
28131, 0, 0
30383, 0, 0
32612, 0, 0
34807, 0, 0
37001, 0, 0
39184, 0, 0
41366, 0, 0
43572, 0, 0
45952, 0, 0
48321, 0, 0
50561, 0, 0
52802, 0, 0
55043, 0, 0
57295, 0, 0
59536, 0, 0
61788, 0, 0
64017, 0, 0
66258, 0, 0
68499, 0, 0
70740, 0, 0
72980, 0, 0
75221, 0, 0
77473, 0, 0
79714, 0, 0
81955, 0, 0
84196, 0, 0
86436, 0, 0
88677, 0, 0
90929, 0, 0
93170, 0, 0
95411, 0, 0
97652, 0, 0
99892, 0, 0
102133, 0, 0
104385, 0, 0
106638, 0, 0
108878, 0, 0
111119, 0, 0
113360, 0, 0
115601, 0, 0
117841, 0, 0
120082, 0, 0
122323, 0, 0
124575, 0, 0
126816, 0, 0
128824, 0, 0
131158, 0, 0
133538, 0, 0
135790, 0, 0
138031, 0, 0
140272, 0, 0
142512, 0, 0
144753, 0, 0
146994, 0, 0
149246, 0, 0
