BPM_CALMO: 71
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
3216, 0, 0
3924, 0, 0
4632, 0, 0
5468, 0, 0
6316, 0, 0
7152, 0, 0
7976, 0, 0
8812, 0, 0
9648, 0, 0
10484, 0, 0
11343, 0, 0
12190, 0, 0
12945, 0, 0
13688, 0, 0
14443, 0, 0
15279, 0, 0
16080, 0, 0
16869, 0, 0
17624, 0, 0
18367, 0, 0
19180, 0, 0
20039, 0, 0
20886, 0, 0
21571, 0, 0
22256, 0, 0
23115, 0, 0
23951, 0, 0
24799, 0, 0
25646, 0, 0
26738, 0, 0
27887, 0, 0
28735, 0, 0
29559, 0, 0
30395, 0, 0
31231, 0, 0
31939, 0, 0
32647, 0, 0
33495, 0, 0
34342, 0, 0
35027, 0, 0
35712, 0, 0
36444, 0, 0
37164, 0, 0
37976, 0, 0
38835, 0, 0
39683, 0, 0
40530, 0, 0
41355, 0, 0
42214, 0, 0
43050, 0, 0
43886, 0, 0
44698, 0, 0
45558, 0, 0
46393, 0, 0
47253, 0, 0
48077, 0, 0
48936, 0, 0
49667, 0, 0
50329, 0, 0
51188, 0, 0
52013, 0, 0
52837, 0, 0
53661, 0, 0
54532, 0, 0
55345, 0, 0
56204, 0, 0
57051, 0, 0
58038, 0, 0
58990, 0, 0
59838, 0, 0
60685, 0, 0
61533, 0, 0
62450, 0, 0
63356, 0, 0
64296, 0, 0
65167, 0, 0
66014, 0, 0
66850, 0, 0
67698, 0, 0
68510, 0, 0
69370, 0, 0
70229, 0, 0
71076, 0, 0
71912, 0, 0
72760, 0, 0
73863, 0, 0
74710, 0, 0
75395, 0, 0
76080, 0, 0
76939, 0, 0
77787, 0, 0
78634, 0, 0
79482, 0, 0
80573, 0, 0
81444, 0, 0
82257, 0, 0
83116, 0, 0
83963, 0, 0
84834, 0, 0
85647, 0, 0
86483, 0, 0
87330, 0, 0
88178, 0, 0
89025, 0, 0
89850, 0, 0
90697, 0, 0
91545, 0, 0
92369, 0, 0
93217, 0, 0
94029, 0, 0
94888, 0, 0
95620, 0, 0
96305, 0, 0
97141, 0, 0
97988, 0, 0
98824, 0, 0
99672, 0, 0
100519, 0, 0
101343, 0, 0
102179, 0, 0
103004, 0, 0
104153, 0, 0
105012, 0, 0
105825, 0, 0
106672, 0, 0
107485, 0, 0
108356, 0, 0
