BPM_CALMO: 110
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
6095, 0, 0
6629, 0, 0
7163, 0, 0
7732, 0, 0
8278, 0, 0
8824, 0, 0
9358, 0, 0
9915, 0, 0
10461, 0, 0
11006, 0, 0
11540, 0, 0
12098, 0, 0
12643, 0, 0
13189, 0, 0
13735, 0, 0
14280, 0, 0
14826, 0, 0
15372, 0, 0
15917, 0, 0
16463, 0, 0
17009, 0, 0
17554, 0, 0
18100, 0, 0
18646, 0, 0
19191, 0, 0
19737, 0, 0
20283, 0, 0
20828, 0, 0
21374, 0, 0
21920, 0, 0
22465, 0, 0
23011, 0, 0
23557, 0, 0
24102, 0, 0
24648, 0, 0
25194, 0, 0
25739, 0, 0
26285, 0, 0
26831, 0, 0
27376, 0, 0
27922, 0, 0
28468, 0, 0
29013, 0, 0
29559, 0, 0
30105, 0, 0
30650, 0, 0
31196, 0, 0
31742, 0, 0
32287, 0, 0
32833, 0, 0
33379, 0, 0
33924, 0, 0
34458, 0, 0
35016, 0, 0
35561, 0, 0
36107, 0, 0
36653, 0, 0
37198, 0, 0
37744, 0, 0
38290, 0, 0
38824, 0, 0
39381, 0, 0
39927, 0, 0
40472, 0, 0
41006, 0, 0
41564, 0, 0
42109, 0, 0
42643, 0, 0
43189, 0, 0
43746, 0, 0
44292, 0, 0
44838, 0, 0
45372, 0, 0
45929, 0, 0
46475, 0, 0
47009, 0, 0
47554, 0, 0
48100, 0, 0
48646, 0, 0
49191, 0, 0
49737, 0, 0
50283, 0, 0
50840, 0, 0
51374, 0, 0
51920, 0, 0
52465, 0, 0
53011, 0, 0
53557, 0, 0
54102, 0, 0
54648, 0, 0
55194, 0, 0
55740, 0, 0
56285, 0, 0
56831, 0, 0
57377, 0, 0
57922, 0, 0
58468, 0, 0
59014, 0, 0
59559, 0, 0
60105, 0, 0
60651, 0, 0
61196, 0, 0
61742, 0, 0
62288, 0, 0
62833, 0, 0
63379, 0, 0
63925, 0, 0
64470, 0, 0
65016, 0, 0
65562, 0, 0
66107, 0, 0
66653, 0, 0
67199, 0, 0
67744, 0, 0
68290, 0, 0
68836, 0, 0
69370, 0, 0
69927, 0, 0
70461, 0, 0
71007, 0, 0
71552, 0, 0
72098, 0, 0
72655, 0, 0
73189, 0, 0
73735, 0, 0
74292, 0, 0
74838, 0, 0
75384, 0, 0
75918, 0, 0
76463, 0, 0
77021, 0, 0
77555, 0, 0
78100, 0, 0
78658, 0, 0
79192, 0, 0
79737, 0, 0
80283, 0, 0
80829, 0, 0
81374, 0, 0
81920, 0, 0
82466, 0, 0
83011, 0, 0
83557, 0, 0
84103, 0, 0
84648, 0, 0
85194, 0, 0
85740, 0, 0
86285, 0, 0
86831, 0, 0
87377, 0, 0
87922, 0, 0
88468, 0, 0
89014, 0, 0
89559, 0, 0
90105, 0, 0
90651, 0, 0
91196, 0, 0
91742, 0, 0
92288, 0, 0
92833, 0, 0
93379, 0, 0
93925, 0, 0
94470, 0, 0
95016, 0, 0
95550, 0, 0
96107, 0, 0
96653, 0, 0
97199, 0, 0
97744, 0, 0
98290, 0, 0
98836, 0, 0
99381, 0, 0
99915, 0, 0
100473, 0, 0
101018, 0, 0
101564, 0, 0
102098, 0, 0
102655, 0, 0
103201, 0, 0
103735, 0, 0
104281, 0, 0
104838, 0, 0
105384, 0, 0
105929, 0, 0
106463, 0, 0
107009, 0, 0
107566, 0, 0
108100, 0, 0
108646, 0, 0
109203, 0, 0
109738, 0, 0
110283, 0, 0
110829, 0, 0
111375, 0, 0
111920, 0, 0
112466, 0, 0
113012, 0, 0
113557, 0, 0
114103, 0, 0
114649, 0, 0
115194, 0, 0
115740, 0, 0
116286, 0, 0
116831, 0, 0
117377, 0, 0
117923, 0, 0
118468, 0, 0
119014, 0, 0
119560, 0, 0
120105, 0, 0
120651, 0, 0
121197, 0, 0
121742, 0, 0
122288, 0, 0
122834, 0, 0
123379, 0, 0
123925, 0, 0
124471, 0, 0
125016, 0, 0
125562, 0, 0
126096, 0, 0
126653, 0, 0
127199, 0, 0
127745, 0, 0
128290, 0, 0
128836, 0, 0
129382, 0, 0
129916, 0, 0
130461, 0, 0
131019, 0, 0
131564, 0, 0
132098, 0, 0
132644, 0, 0
133190, 0, 0
133735, 0, 0
134281, 0, 0
134827, 0, 0
135372, 0, 0
135918, 0, 0
136464, 0, 0
137009, 0, 0
137555, 0, 0
138112, 0, 0
138646, 0, 0
139192, 0, 0
139738, 0, 0
140283, 0, 0
140829, 0, 0
141375, 0, 0
141920, 0, 0
142466, 0, 0
143012, 0, 0
143557, 0, 0
144103, 0, 0
144649, 0, 0
145194, 0, 0
145740, 0, 0
146286, 0, 0
146831, 0, 0
147377, 0, 0
147923, 0, 0
148468, 0, 0
149014, 0, 0
149560, 0, 0
150105, 0, 0
150651, 0, 0
151197, 0, 0
151742, 0, 0
152288, 0, 0
152834, 0, 0
153379, 0, 0
153925, 0, 0
154471, 0, 0
155016, 0, 0
155562, 0, 0
156108, 0, 0
156642, 0, 0
157199, 0, 0
157745, 0, 0
158290, 0, 0
158824, 0, 0
159382, 0, 0
159927, 0, 0
160461, 0, 0
161007, 0, 0
161564, 0, 0
162110, 0, 0
162656, 0, 0
163201, 0, 0
163747, 0, 0
164293, 0, 0
164827, 0, 0
165373, 0, 0
165930, 0, 0
166475, 0, 0
167010, 0, 0
167555, 0, 0
168112, 0, 0
168658, 0, 0
169204, 0, 0
169738, 0, 0
