BPM_CALMO: 63
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
31707, 0, 0
32670, 0, 0
33611, 0, 0
34575, 0, 0
35515, 0, 0
36479, 0, 0
37419, 0, 0
38383, 0, 0
39323, 0, 0
40287, 0, 0
41227, 0, 0
42191, 0, 0
43131, 0, 0
44095, 0, 0
45035, 0, 0
45999, 0, 0
46951, 0, 0
47903, 0, 0
48855, 0, 0
49807, 0, 0
50759, 0, 0
51711, 0, 0
52663, 0, 0
53626, 0, 0
54567, 0, 0
55531, 0, 0
56471, 0, 0
57435, 0, 0
58387, 0, 0
59339, 0, 0
60291, 0, 0
61243, 0, 0
62183, 0, 0
63147, 0, 0
64087, 0, 0
65051, 0, 0
65991, 0, 0
66955, 0, 0
67895, 0, 0
68859, 0, 0
69799, 0, 0
70763, 0, 0
71703, 0, 0
72667, 0, 0
73619, 0, 0
74571, 0, 0
75511, 0, 0
76475, 0, 0
77427, 0, 0
78379, 0, 0
79331, 0, 0
80283, 0, 0
81235, 0, 0
82187, 0, 0
83139, 0, 0
84103, 0, 0
85043, 0, 0
85995, 0, 0
86947, 0, 0
87911, 0, 0
88863, 0, 0
89815, 0, 0
90767, 0, 0
91719, 0, 0
92659, 0, 0
93623, 0, 0
94563, 0, 0
95527, 0, 0
96467, 0, 0
97431, 0, 0
98371, 0, 0
99335, 0, 0
100275, 0, 0
101239, 0, 0
102179, 0, 0
103143, 0, 0
104083, 0, 0
105047, 0, 0
105987, 0, 0
106951, 0, 0
107903, 0, 0
108855, 0, 0
109807, 0, 0
110759, 0, 0
111711, 0, 0
112663, 0, 0
113615, 0, 0
114579, 0, 0
115519, 0, 0
116483, 0, 0
117423, 0, 0
118387, 0, 0
119339, 0, 0
120291, 0, 0
121243, 0, 0
122195, 0, 0
123135, 0, 0
124099, 0, 0
125039, 0, 0
126003, 0, 0
126943, 0, 0
127907, 0, 0
128848, 0, 0
129811, 0, 0
130752, 0, 0
131715, 0, 0
132656, 0, 0
133619, 0, 0
134571, 0, 0
135523, 0, 0
136464, 0, 0
137427, 0, 0
138379, 0, 0
139343, 0, 0
140283, 0, 0
141235, 0, 0
142187, 0, 0
143139, 0, 0
144091, 0, 0
145055, 0, 0
145995, 0, 0
146959, 0, 0
147900, 0, 0
148863, 0, 0
149804, 0, 0
150767, 0, 0
151708, 0, 0
