BPM_CALMO: 65
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
35, 0, 0
975, 0, 0
1892, 0, 0
2810, 0, 0
3738, 0, 0
4679, 0, 0
5608, 0, 0
6525, 0, 0
7430, 0, 0
8371, 0, 0
9276, 0, 0
10205, 0, 0
11122, 0, 0
12063, 0, 0
12980, 0, 0
13920, 0, 0
14814, 0, 0
15732, 0, 0
16660, 0, 0
17578, 0, 0
18506, 0, 0
19423, 0, 0
20352, 0, 0
21269, 0, 0
22198, 0, 0
23115, 0, 0
24044, 0, 0
24961, 0, 0
25890, 0, 0
26807, 0, 0
27736, 0, 0
28653, 0, 0
29582, 0, 0
30499, 0, 0
31428, 0, 0
32345, 0, 0
33274, 0, 0
34191, 0, 0
35120, 0, 0
36037, 0, 0
36966, 0, 0
37883, 0, 0
38812, 0, 0
39729, 0, 0
40658, 0, 0
41575, 0, 0
42504, 0, 0
43421, 0, 0
44315, 0, 0
45279, 0, 0
46219, 0, 0
47113, 0, 0
48054, 0, 0
48948, 0, 0
49911, 0, 0
50840, 0, 0
51757, 0, 0
52674, 0, 0
53603, 0, 0
54486, 0, 0
55449, 0, 0
56366, 0, 0
57295, 0, 0
58212, 0, 0
59141, 0, 0
60047, 0, 0
60964, 0, 0
61893, 0, 0
62833, 0, 0
63739, 0, 0
64656, 0, 0
65585, 0, 0
66525, 0, 0
67431, 0, 0
68348, 0, 0
69277, 0, 0
70217, 0, 0
71123, 0, 0
72040, 0, 0
72969, 0, 0
73886, 0, 0
74815, 0, 0
75732, 0, 0
76661, 0, 0
77578, 0, 0
78507, 0, 0
79424, 0, 0
80353, 0, 0
81270, 0, 0
82199, 0, 0
83116, 0, 0
84045, 0, 0
84962, 0, 0
85891, 0, 0
86808, 0, 0
87748, 0, 0
88654, 0, 0
89583, 0, 0
90511, 0, 0
91429, 0, 0
92346, 0, 0
93275, 0, 0
94203, 0, 0
95121, 0, 0
96038, 0, 0
96967, 0, 0
97895, 0, 0
98813, 0, 0
99730, 0, 0
100659, 0, 0
101587, 0, 0
102504, 0, 0
103422, 0, 0
104350, 0, 0
105279, 0, 0
106196, 0, 0
107114, 0, 0
108042, 0, 0
108971, 0, 0
109888, 0, 0
110817, 0, 0
111734, 0, 0
112663, 0, 0
113580, 0, 0
114509, 0, 0
115426, 0, 0
116355, 0, 0
117272, 0, 0
