BPM_CALMO: 65
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
23139, 0, 0
24079, 0, 0
24985, 0, 0
25913, 0, 0
26831, 0, 0
27748, 0, 0
28677, 0, 0
29605, 0, 0
30523, 0, 0
31451, 0, 0
32369, 0, 0
33286, 0, 0
34215, 0, 0
35155, 0, 0
36061, 0, 0
36989, 0, 0
37907, 0, 0
38824, 0, 0
39753, 0, 0
40681, 0, 0
41599, 0, 0
42527, 0, 0
43445, 0, 0
44362, 0, 0
45291, 0, 0
46231, 0, 0
47137, 0, 0
48065, 0, 0
48982, 0, 0
49900, 0, 0
50828, 0, 0
51757, 0, 0
52674, 0, 0
53603, 0, 0
54520, 0, 0
55438, 0, 0
56366, 0, 0
57307, 0, 0
58212, 0, 0
59141, 0, 0
60058, 0, 0
60976, 0, 0
61904, 0, 0
62833, 0, 0
63750, 0, 0
64679, 0, 0
65596, 0, 0
66514, 0, 0
67442, 0, 0
68383, 0, 0
69312, 0, 0
70240, 0, 0
71169, 0, 0
72086, 0, 0
73004, 0, 0
73932, 0, 0
74850, 0, 0
75767, 0, 0
76696, 0, 0
77613, 0, 0
78530, 0, 0
79459, 0, 0
80387, 0, 0
81305, 0, 0
82233, 0, 0
83151, 0, 0
84068, 0, 0
84997, 0, 0
85925, 0, 0
86843, 0, 0
87771, 0, 0
88677, 0, 0
89606, 0, 0
90535, 0, 0
91440, 0, 0
92369, 0, 0
93286, 0, 0
94215, 0, 0
95144, 0, 0
96073, 0, 0
96978, 0, 0
97907, 0, 0
98836, 0, 0
99753, 0, 0
100682, 0, 0
101611, 0, 0
102516, 0, 0
103445, 0, 0
104374, 0, 0
105291, 0, 0
106208, 0, 0
107137, 0, 0
108054, 0, 0
108983, 0, 0
109912, 0, 0
110829, 0, 0
111758, 0, 0
112686, 0, 0
113592, 0, 0
114521, 0, 0
115450, 0, 0
116367, 0, 0
117296, 0, 0
118224, 0, 0
119130, 0, 0
120059, 0, 0
120988, 0, 0
121905, 0, 0
122834, 0, 0
123762, 0, 0
124668, 0, 0
125597, 0, 0
126526, 0, 0
127443, 0, 0
128372, 0, 0
129300, 0, 0
130206, 0, 0
131135, 0, 0
132063, 0, 0
132981, 0, 0
