BPM_CALMO: 70
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
46, 0, 0
894, 0, 0
1741, 0, 0
2577, 0, 0
3413, 0, 0
4249, 0, 0
5108, 0, 0
5956, 0, 0
6803, 0, 0
7674, 0, 0
8522, 0, 0
9381, 0, 0
10228, 0, 0
11099, 0, 0
11947, 0, 0
12806, 0, 0
13653, 0, 0
14524, 0, 0
15383, 0, 0
16242, 0, 0
17090, 0, 0
17961, 0, 0
18808, 0, 0
19656, 0, 0
20515, 0, 0
21386, 0, 0
22245, 0, 0
23104, 0, 0
23940, 0, 0
24811, 0, 0
25658, 0, 0
26517, 0, 0
27376, 0, 0
28073, 0, 0
28874, 0, 0
29954, 0, 0
30801, 0, 0
31672, 0, 0
32311, 0, 0
33367, 0, 0
34226, 0, 0
35097, 0, 0
35956, 0, 0
36815, 0, 0
37651, 0, 0
38534, 0, 0
39381, 0, 0
40229, 0, 0
41088, 0, 0
41958, 0, 0
42806, 0, 0
43665, 0, 0
44513, 0, 0
45383, 0, 0
46231, 0, 0
47090, 0, 0
47949, 0, 0
48808, 0, 0
49667, 0, 0
50527, 0, 0
51374, 0, 0
52245, 0, 0
53092, 0, 0
53952, 0, 0
54799, 0, 0
55670, 0, 0
56529, 0, 0
57388, 0, 0
58236, 0, 0
59106, 0, 0
59954, 0, 0
60801, 0, 0
61661, 0, 0
62531, 0, 0
63390, 0, 0
64238, 0, 0
65086, 0, 0
65956, 0, 0
66815, 0, 0
67663, 0, 0
68522, 0, 0
69381, 0, 0
70240, 0, 0
71100, 0, 0
71947, 0, 0
72818, 0, 0
73665, 0, 0
74513, 0, 0
75372, 0, 0
76243, 0, 0
77102, 0, 0
77961, 0, 0
78797, 0, 0
79679, 0, 0
80527, 0, 0
81374, 0, 0
82233, 0, 0
82930, 0, 0
83731, 0, 0
84590, 0, 0
85438, 0, 0
86297, 0, 0
87179, 0, 0
88224, 0, 0
89095, 0, 0
89966, 0, 0
90825, 0, 0
91672, 0, 0
92520, 0, 0
93391, 0, 0
94238, 0, 0
95086, 0, 0
95945, 0, 0
96804, 0, 0
