BPM_CALMO: 94
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
116, 0, 0
731, 0, 0
1347, 0, 0
1962, 0, 0
2589, 0, 0
3216, 0, 0
3843, 0, 0
4470, 0, 0
5097, 0, 0
5724, 0, 0
6351, 0, 0
6978, 0, 0
7628, 0, 0
8278, 0, 0
8916, 0, 0
9555, 0, 0
10194, 0, 0
10832, 0, 0
11471, 0, 0
12109, 0, 0
12748, 0, 0
13386, 0, 0
14036, 0, 0
14675, 0, 0
15302, 0, 0
15848, 0, 0
16393, 0, 0
17032, 0, 0
17589, 0, 0
18112, 0, 0
18739, 0, 0
19273, 0, 0
19818, 0, 0
20457, 0, 0
21002, 0, 0
21537, 0, 0
22163, 0, 0
22698, 0, 0
23243, 0, 0
23882, 0, 0
24416, 0, 0
24961, 0, 0
25588, 0, 0
26134, 0, 0
26680, 0, 0
27527, 0, 0
28177, 0, 0
28816, 0, 0
29466, 0, 0
30105, 0, 0
30743, 0, 0
31277, 0, 0
31823, 0, 0
32461, 0, 0
33100, 0, 0
33750, 0, 0
34389, 0, 0
35027, 0, 0
35677, 0, 0
36316, 0, 0
36955, 0, 0
37605, 0, 0
38255, 0, 0
38905, 0, 0
39544, 0, 0
40391, 0, 0
41239, 0, 0
41900, 0, 0
42551, 0, 0
43178, 0, 0
43816, 0, 0
44455, 0, 0
45000, 0, 0
45534, 0, 0
46173, 0, 0
46811, 0, 0
47462, 0, 0
48100, 0, 0
48750, 0, 0
49400, 0, 0
50039, 0, 0
50678, 0, 0
51316, 0, 0
51850, 0, 0
52396, 0, 0
53034, 0, 0
53685, 0, 0
54323, 0, 0
54962, 0, 0
55600, 0, 0
56250, 0, 0
56889, 0, 0
57527, 0, 0
58178, 0, 0
58712, 0, 0
59246, 0, 0
59884, 0, 0
60534, 0, 0
61185, 0, 0
61812, 0, 0
62462, 0, 0
63112, 0, 0
63750, 0, 0
64389, 0, 0
65027, 0, 0
65562, 0, 0
66107, 0, 0
66664, 0, 0
67187, 0, 0
67814, 0, 0
68452, 0, 0
69056, 0, 0
69671, 0, 0
70287, 0, 0
70902, 0, 0
71517, 0, 0
72121, 0, 0
72748, 0, 0
73375, 0, 0
74002, 0, 0
74629, 0, 0
75256, 0, 0
75883, 0, 0
76498, 0, 0
77113, 0, 0
77729, 0, 0
78344, 0, 0
78971, 0, 0
79598, 0, 0
80225, 0, 0
80852, 0, 0
81479, 0, 0
82106, 0, 0
82733, 0, 0
83360, 0, 0
83987, 0, 0
84602, 0, 0
85217, 0, 0
85833, 0, 0
86518, 0, 0
87203, 0, 0
87888, 0, 0
88573, 0, 0
89246, 0, 0
89896, 0, 0
90546, 0, 0
91196, 0, 0
91835, 0, 0
92473, 0, 0
93112, 0, 0
93751, 0, 0
94389, 0, 0
95039, 0, 0
95678, 0, 0
96316, 0, 0
96955, 0, 0
97605, 0, 0
98255, 0, 0
98894, 0, 0
99532, 0, 0
100171, 0, 0
100809, 0, 0
101460, 0, 0
102110, 0, 0
102760, 0, 0
103410, 0, 0
104049, 0, 0
104687, 0, 0
105326, 0, 0
105953, 0, 0
106626, 0, 0
107311, 0, 0
107984, 0, 0
108669, 0, 0
109354, 0, 0
110028, 0, 0
110678, 0, 0
111316, 0, 0
111967, 0, 0
112605, 0, 0
113244, 0, 0
113894, 0, 0
114532, 0, 0
115171, 0, 0
115810, 0, 0
116471, 0, 0
117319, 0, 0
117957, 0, 0
118608, 0, 0
119246, 0, 0
119885, 0, 0
120419, 0, 0
120964, 0, 0
121603, 0, 0
122253, 0, 0
122892, 0, 0
123530, 0, 0
124180, 0, 0
124819, 0, 0
125457, 0, 0
126096, 0, 0
126746, 0, 0
127280, 0, 0
127814, 0, 0
128453, 0, 0
129115, 0, 0
129753, 0, 0
130392, 0, 0
131030, 0, 0
131680, 0, 0
132319, 0, 0
132957, 0, 0
133596, 0, 0
134130, 0, 0
134676, 0, 0
135233, 0, 0
135755, 0, 0
136394, 0, 0
137044, 0, 0
137578, 0, 0
138112, 0, 0
138751, 0, 0
139389, 0, 0
140028, 0, 0
140666, 0, 0
141317, 0, 0
141955, 0, 0
142605, 0, 0
143244, 0, 0
143894, 0, 0
144428, 0, 0
144962, 0, 0
145601, 0, 0
146239, 0, 0
146889, 0, 0
147528, 0, 0
148178, 0, 0
148817, 0, 0
149467, 0, 0
150105, 0, 0
150744, 0, 0
151290, 0, 0
151824, 0, 0
152451, 0, 0
153101, 0, 0
153751, 0, 0
154389, 0, 0
155028, 0, 0
155678, 0, 0
156317, 0, 0
156955, 0, 0
157605, 0, 0
158151, 0, 0
158685, 0, 0
159312, 0, 0
159962, 0, 0
160601, 0, 0
161239, 0, 0
161890, 0, 0
162528, 0, 0
163178, 0, 0
163817, 0, 0
