BPM_CALMO: 72
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
13375, 0, 0
14211, 0, 0
15047, 0, 0
15871, 0, 0
16707, 0, 0
17543, 0, 0
18379, 0, 0
19203, 0, 0
20039, 0, 0
20875, 0, 0
21711, 0, 0
22535, 0, 0
23371, 0, 0
24207, 0, 0
25043, 0, 0
26703, 0, 0
27539, 0, 0
28386, 0, 0
29211, 0, 0
30047, 0, 0
30871, 0, 0
31707, 0, 0
32543, 0, 0
33379, 0, 0
34203, 0, 0
35051, 0, 0
35875, 0, 0
36711, 0, 0
37535, 0, 0
38383, 0, 0
39207, 0, 0
40043, 0, 0
40879, 0, 0
41715, 0, 0
42539, 0, 0
43375, 0, 0
44211, 0, 0
45047, 0, 0
45871, 0, 0
46707, 0, 0
47543, 0, 0
48379, 0, 0
49203, 0, 0
50039, 0, 0
50875, 0, 0
51711, 0, 0
52535, 0, 0
53371, 0, 0
54207, 0, 0
55043, 0, 0
55867, 0, 0
56703, 0, 0
57539, 0, 0
58375, 0, 0
59211, 0, 0
60035, 0, 0
60871, 0, 0
61707, 0, 0
62543, 0, 0
63379, 0, 0
64203, 0, 0
65039, 0, 0
65875, 0, 0
66711, 0, 0
67535, 0, 0
68383, 0, 0
69207, 0, 0
70043, 0, 0
70867, 0, 0
71715, 0, 0
72539, 0, 0
73375, 0, 0
74211, 0, 0
75047, 0, 0
75871, 0, 0
76707, 0, 0
77543, 0, 0
78379, 0, 0
79215, 0, 0
80039, 0, 0
80875, 0, 0
81711, 0, 0
82535, 0, 0
83371, 0, 0
84207, 0, 0
85043, 0, 0
85879, 0, 0
86703, 0, 0
87539, 0, 0
88375, 0, 0
89211, 0, 0
90047, 0, 0
90871, 0, 0
91719, 0, 0
92543, 0, 0
93379, 0, 0
94203, 0, 0
95051, 0, 0
95875, 0, 0
96711, 0, 0
97535, 0, 0
98383, 0, 0
99207, 0, 0
100043, 0, 0
100879, 0, 0
101715, 0, 0
102539, 0, 0
103375, 0, 0
104211, 0, 0
105047, 0, 0
105871, 0, 0
106719, 0, 0
107555, 0, 0
108391, 0, 0
109227, 0, 0
110063, 0, 0
110899, 0, 0
111734, 0, 0
112570, 0, 0
113383, 0, 0
114207, 0, 0
115055, 0, 0
115891, 0, 0
116715, 0, 0
117551, 0, 0
118387, 0, 0
119211, 0, 0
120036, 0, 0
120871, 0, 0
121719, 0, 0
122543, 0, 0
123379, 0, 0
124204, 0, 0
125039, 0, 0
125875, 0, 0
126711, 0, 0
127536, 0, 0
128383, 0, 0
129207, 0, 0
130043, 0, 0
130879, 0, 0
131715, 0, 0
132540, 0, 0
133375, 0, 0
134211, 0, 0
135047, 0, 0
135872, 0, 0
136707, 0, 0
137543, 0, 0
138379, 0, 0
139204, 0, 0
140040, 0, 0
140875, 0, 0
141711, 0, 0
142536, 0, 0
143372, 0, 0
144208, 0, 0
145043, 0, 0
145879, 0, 0
146715, 0, 0
147551, 0, 0
148387, 0, 0
149223, 0, 0
150047, 0, 0
