BPM_CALMO: 72
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
13990, 0, 0
14838, 0, 0
15685, 0, 0
16521, 0, 0
17369, 0, 0
18216, 0, 0
19064, 0, 0
19911, 0, 0
20759, 0, 0
21595, 0, 0
22442, 0, 0
23290, 0, 0
24137, 0, 0
24973, 0, 0
25821, 0, 0
26668, 0, 0
27516, 0, 0
28363, 0, 0
29211, 0, 0
30047, 0, 0
30894, 0, 0
31742, 0, 0
32589, 0, 0
33425, 0, 0
34273, 0, 0
35120, 0, 0
35968, 0, 0
36804, 0, 0
37663, 0, 0
38499, 0, 0
39346, 0, 0
40194, 0, 0
41041, 0, 0
41877, 0, 0
42725, 0, 0
43572, 0, 0
44420, 0, 0
45256, 0, 0
46103, 0, 0
46951, 0, 0
47798, 0, 0
48646, 0, 0
49493, 0, 0
50329, 0, 0
51177, 0, 0
52024, 0, 0
52883, 0, 0
53731, 0, 0
54567, 0, 0
55403, 0, 0
56250, 0, 0
57086, 0, 0
57945, 0, 0
58781, 0, 0
59629, 0, 0
60476, 0, 0
61324, 0, 0
62160, 0, 0
63007, 0, 0
63855, 0, 0
64702, 0, 0
65550, 0, 0
66397, 0, 0
67233, 0, 0
68081, 0, 0
68928, 0, 0
69776, 0, 0
70612, 0, 0
71459, 0, 0
72307, 0, 0
73154, 0, 0
73990, 0, 0
74838, 0, 0
75685, 0, 0
76533, 0, 0
77369, 0, 0
78216, 0, 0
79064, 0, 0
79923, 0, 0
80759, 0, 0
81607, 0, 0
82442, 0, 0
83290, 0, 0
84138, 0, 0
84985, 0, 0
85821, 0, 0
86668, 0, 0
87516, 0, 0
88364, 0, 0
89211, 0, 0
90059, 0, 0
90895, 0, 0
91742, 0, 0
92590, 0, 0
93437, 0, 0
94273, 0, 0
95121, 0, 0
95968, 0, 0
96816, 0, 0
97652, 0, 0
98499, 0, 0
99347, 0, 0
100194, 0, 0
101030, 0, 0
101878, 0, 0
102725, 0, 0
103573, 0, 0
104420, 0, 0
105268, 0, 0
106104, 0, 0
106963, 0, 0
107810, 0, 0
108646, 0, 0
109482, 0, 0
110341, 0, 0
111177, 0, 0
112025, 0, 0
112872, 0, 0
113720, 0, 0
114556, 0, 0
115403, 0, 0
116251, 0, 0
117098, 0, 0
117934, 0, 0
118782, 0, 0
119629, 0, 0
120477, 0, 0
121313, 0, 0
122172, 0, 0
123008, 0, 0
123855, 0, 0
124691, 0, 0
125550, 0, 0
126386, 0, 0
127234, 0, 0
128081, 0, 0
128929, 0, 0
129765, 0, 0
130624, 0, 0
131460, 0, 0
132307, 0, 0
133155, 0, 0
