BPM_CALMO: 73
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
25554, 0, 0
26389, 0, 0
27202, 0, 0
28026, 0, 0
28851, 0, 0
29675, 0, 0
30488, 0, 0
31312, 0, 0
32136, 0, 0
32961, 0, 0
33762, 0, 0
34598, 0, 0
35410, 0, 0
36235, 0, 0
37059, 0, 0
37883, 0, 0
38696, 0, 0
39532, 0, 0
40345, 0, 0
41157, 0, 0
41982, 0, 0
42829, 0, 0
43630, 0, 0
44455, 0, 0
45279, 0, 0
46103, 0, 0
46928, 0, 0
47752, 0, 0
48576, 0, 0
49400, 0, 0
50213, 0, 0
51049, 0, 0
51862, 0, 0
52674, 0, 0
53499, 0, 0
54335, 0, 0
55147, 0, 0
55983, 0, 0
56796, 0, 0
57609, 0, 0
58433, 0, 0
59257, 0, 0
60070, 0, 0
60906, 0, 0
61719, 0, 0
62555, 0, 0
63356, 0, 0
64192, 0, 0
65004, 0, 0
65829, 0, 0
66653, 0, 0
67477, 0, 0
68290, 0, 0
69126, 0, 0
69939, 0, 0
70763, 0, 0
71599, 0, 0
72411, 0, 0
73224, 0, 0
74048, 0, 0
74873, 0, 0
75697, 0, 0
76510, 0, 0
77334, 0, 0
78158, 0, 0
78983, 0, 0
79795, 0, 0
80631, 0, 0
81444, 0, 0
82268, 0, 0
83081, 0, 0
83917, 0, 0
84741, 0, 0
85554, 0, 0
86378, 0, 0
87203, 0, 0
88027, 0, 0
88851, 0, 0
89664, 0, 0
90488, 0, 0
91312, 0, 0
92137, 0, 0
92961, 0, 0
93774, 0, 0
94598, 0, 0
95422, 0, 0
96247, 0, 0
97059, 0, 0
97884, 0, 0
98708, 0, 0
99532, 0, 0
100357, 0, 0
101181, 0, 0
102005, 0, 0
102830, 0, 0
103654, 0, 0
104467, 0, 0
105291, 0, 0
106104, 0, 0
106928, 0, 0
107752, 0, 0
