BPM_CALMO: 75
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
813, 0, 0
1602, 0, 0
2415, 0, 0
3228, 0, 0
4017, 0, 0
4830, 0, 0
5631, 0, 0
6432, 0, 0
7233, 0, 0
8046, 0, 0
8847, 0, 0
9648, 0, 0
10461, 0, 0
11262, 0, 0
12074, 0, 0
12864, 0, 0
13677, 0, 0
14478, 0, 0
15279, 0, 0
16080, 0, 0
16893, 0, 0
17694, 0, 0
18495, 0, 0
19296, 0, 0
20108, 0, 0
20910, 0, 0
21722, 0, 0
22535, 0, 0
23336, 0, 0
24126, 0, 0
24938, 0, 0
25739, 0, 0
26552, 0, 0
27353, 0, 0
28154, 0, 0
28955, 0, 0
29756, 0, 0
30557, 0, 0
31370, 0, 0
32171, 0, 0
32972, 0, 0
33785, 0, 0
34586, 0, 0
35387, 0, 0
36188, 0, 0
37001, 0, 0
37814, 0, 0
38615, 0, 0
39416, 0, 0
40229, 0, 0
41030, 0, 0
41831, 0, 0
42632, 0, 0
43445, 0, 0
44246, 0, 0
45047, 0, 0
45848, 0, 0
46660, 0, 0
47462, 0, 0
48263, 0, 0
49064, 0, 0
49876, 0, 0
50678, 0, 0
51479, 0, 0
52291, 0, 0
53092, 0, 0
53905, 0, 0
54706, 0, 0
55496, 0, 0
56308, 0, 0
57109, 0, 0
57911, 0, 0
58723, 0, 0
59513, 0, 0
60128, 0, 0
60743, 0, 0
61533, 0, 0
62334, 0, 0
63123, 0, 0
63948, 0, 0
64749, 0, 0
65562, 0, 0
66363, 0, 0
67164, 0, 0
67976, 0, 0
68778, 0, 0
69567, 0, 0
70380, 0, 0
71192, 0, 0
71993, 0, 0
72795, 0, 0
73596, 0, 0
74397, 0, 0
75198, 0, 0
75999, 0, 0
76800, 0, 0
77613, 0, 0
78414, 0, 0
79226, 0, 0
80028, 0, 0
80829, 0, 0
81630, 0, 0
82442, 0, 0
83232, 0, 0
84045, 0, 0
84846, 0, 0
85658, 0, 0
86460, 0, 0
87261, 0, 0
88062, 0, 0
88874, 0, 0
89687, 0, 0
90477, 0, 0
91278, 0, 0
92090, 0, 0
92891, 0, 0
93704, 0, 0
94505, 0, 0
95306, 0, 0
96107, 0, 0
96920, 0, 0
97710, 0, 0
98522, 0, 0
99323, 0, 0
100136, 0, 0
100926, 0, 0
101738, 0, 0
102539, 0, 0
103352, 0, 0
104153, 0, 0
104954, 0, 0
105767, 0, 0
106568, 0, 0
107381, 0, 0
108182, 0, 0
108971, 0, 0
109784, 0, 0
110585, 0, 0
111398, 0, 0
112187, 0, 0
113000, 0, 0
113824, 0, 0
114614, 0, 0
115403, 0, 0
116216, 0, 0
117017, 0, 0
117830, 0, 0
118631, 0, 0
119432, 0, 0
120256, 0, 0
121046, 0, 0
121847, 0, 0
122648, 0, 0
123460, 0, 0
124262, 0, 0
125063, 0, 0
125875, 0, 0
126665, 0, 0
127478, 0, 0
128279, 0, 0
129091, 0, 0
129892, 0, 0
130694, 0, 0
131495, 0, 0
132307, 0, 0
133108, 0, 0
133909, 0, 0
134711, 0, 0
135523, 0, 0
136324, 0, 0
137125, 0, 0
137927, 0, 0
138739, 0, 0
139482, 0, 0
140225, 0, 0
140992, 0, 0
