BPM_CALMO: 74
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
93, 0, 0
906, 0, 0
1718, 0, 0
2531, 0, 0
3332, 0, 0
4145, 0, 0
4946, 0, 0
5759, 0, 0
6571, 0, 0
7384, 0, 0
8185, 0, 0
9009, 0, 0
9810, 0, 0
10623, 0, 0
11436, 0, 0
12249, 0, 0
13061, 0, 0
13874, 0, 0
14675, 0, 0
15488, 0, 0
16300, 0, 0
17113, 0, 0
17926, 0, 0
18739, 0, 0
19540, 0, 0
20352, 0, 0
21165, 0, 0
21978, 0, 0
22790, 0, 0
23603, 0, 0
24416, 0, 0
25228, 0, 0
26030, 0, 0
26842, 0, 0
27643, 0, 0
28468, 0, 0
29280, 0, 0
30081, 0, 0
30906, 0, 0
31707, 0, 0
32520, 0, 0
33332, 0, 0
34145, 0, 0
34958, 0, 0
35759, 0, 0
36571, 0, 0
37384, 0, 0
38197, 0, 0
39010, 0, 0
39811, 0, 0
40612, 0, 0
41436, 0, 0
42249, 0, 0
43073, 0, 0
43886, 0, 0
44687, 0, 0
45500, 0, 0
46312, 0, 0
47125, 0, 0
47938, 0, 0
48739, 0, 0
49563, 0, 0
50364, 0, 0
51177, 0, 0
51989, 0, 0
52791, 0, 0
53592, 0, 0
54416, 0, 0
55229, 0, 0
56030, 0, 0
56854, 0, 0
57655, 0, 0
58468, 0, 0
59269, 0, 0
60093, 0, 0
60894, 0, 0
61707, 0, 0
62520, 0, 0
63332, 0, 0
64145, 0, 0
64946, 0, 0
65759, 0, 0
66572, 0, 0
67384, 0, 0
68197, 0, 0
68998, 0, 0
69822, 0, 0
70623, 0, 0
71436, 0, 0
72249, 0, 0
73073, 0, 0
73874, 0, 0
74675, 0, 0
75488, 0, 0
76312, 0, 0
77113, 0, 0
77926, 0, 0
78727, 0, 0
79552, 0, 0
80353, 0, 0
81165, 0, 0
81978, 0, 0
82791, 0, 0
83603, 0, 0
84405, 0, 0
85217, 0, 0
86042, 0, 0
86843, 0, 0
87655, 0, 0
88468, 0, 0
89281, 0, 0
90093, 0, 0
90895, 0, 0
91707, 0, 0
92520, 0, 0
93333, 0, 0
94145, 0, 0
94946, 0, 0
95759, 0, 0
96572, 0, 0
97384, 0, 0
98197, 0, 0
99010, 0, 0
99811, 0, 0
100624, 0, 0
101436, 0, 0
102249, 0, 0
103062, 0, 0
103863, 0, 0
104676, 0, 0
105477, 0, 0
106301, 0, 0
107114, 0, 0
107926, 0, 0
108739, 0, 0
109552, 0, 0
110353, 0, 0
111166, 0, 0
111978, 0, 0
112791, 0, 0
113604, 0, 0
114416, 0, 0
115229, 0, 0
116030, 0, 0
116843, 0, 0
117656, 0, 0
118457, 0, 0
119269, 0, 0
120094, 0, 0
120895, 0, 0
121719, 0, 0
122520, 0, 0
123333, 0, 0
124145, 0, 0
124947, 0, 0
125759, 0, 0
126572, 0, 0
127385, 0, 0
128197, 0, 0
129010, 0, 0
129823, 0, 0
130624, 0, 0
131425, 0, 0
132249, 0, 0
133062, 0, 0
133863, 0, 0
134687, 0, 0
135488, 0, 0
136301, 0, 0
137114, 0, 0
137927, 0, 0
138728, 0, 0
139552, 0, 0
140353, 0, 0
141177, 0, 0
141978, 0, 0
142791, 0, 0
143592, 0, 0
144405, 0, 0
145218, 0, 0
