BPM_CALMO: 75
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
46, 0, 0
859, 0, 0
1649, 0, 0
2450, 0, 0
3251, 0, 0
4063, 0, 0
4853, 0, 0
5654, 0, 0
6455, 0, 0
7256, 0, 0
8057, 0, 0
8858, 0, 0
9660, 0, 0
10461, 0, 0
11262, 0, 0
12063, 0, 0
12968, 0, 0
13653, 0, 0
14478, 0, 0
15256, 0, 0
16057, 0, 0
16858, 0, 0
17670, 0, 0
18460, 0, 0
19249, 0, 0
20050, 0, 0
20875, 0, 0
21653, 0, 0
22454, 0, 0
23255, 0, 0
24079, 0, 0
24857, 0, 0
25658, 0, 0
26459, 0, 0
27272, 0, 0
28050, 0, 0
28851, 0, 0
29652, 0, 0
30476, 0, 0
31254, 0, 0
32055, 0, 0
32856, 0, 0
33681, 0, 0
34458, 0, 0
35260, 0, 0
36049, 0, 0
36769, 0, 0
37651, 0, 0
38429, 0, 0
39195, 0, 0
39962, 0, 0
40716, 0, 0
41471, 0, 0
42272, 0, 0
43073, 0, 0
43874, 0, 0
44675, 0, 0
45465, 0, 0
46254, 0, 0
47090, 0, 0
47926, 0, 0
48762, 0, 0
49586, 0, 0
50422, 0, 0
51258, 0, 0
52059, 0, 0
52860, 0, 0
53661, 0, 0
54451, 0, 0
55263, 0, 0
56053, 0, 0
56854, 0, 0
57655, 0, 0
58456, 0, 0
59257, 0, 0
60058, 0, 0
60860, 0, 0
61661, 0, 0
62462, 0, 0
63263, 0, 0
64052, 0, 0
64853, 0, 0
65654, 0, 0
66456, 0, 0
67245, 0, 0
68058, 0, 0
68882, 0, 0
69648, 0, 0
70449, 0, 0
71250, 0, 0
72075, 0, 0
72853, 0, 0
73654, 0, 0
74455, 0, 0
75279, 0, 0
76057, 0, 0
76858, 0, 0
77659, 0, 0
78472, 0, 0
79250, 0, 0
80051, 0, 0
80863, 0, 0
81676, 0, 0
82454, 0, 0
83255, 0, 0
84056, 0, 0
84881, 0, 0
85658, 0, 0
86460, 0, 0
87261, 0, 0
88085, 0, 0
88851, 0, 0
89652, 0, 0
90453, 0, 0
91173, 0, 0
92056, 0, 0
92845, 0, 0
93658, 0, 0
94470, 0, 0
95260, 0, 0
96154, 0, 0
96862, 0, 0
97675, 0, 0
98453, 0, 0
99254, 0, 0
100055, 0, 0
100879, 0, 0
101657, 0, 0
102458, 0, 0
103259, 0, 0
104072, 0, 0
104850, 0, 0
105651, 0, 0
106463, 0, 0
107276, 0, 0
108054, 0, 0
108855, 0, 0
109656, 0, 0
110481, 0, 0
111258, 0, 0
112060, 0, 0
112861, 0, 0
113673, 0, 0
114463, 0, 0
115357, 0, 0
116053, 0, 0
116773, 0, 0
117656, 0, 0
118457, 0, 0
119258, 0, 0
120082, 0, 0
120860, 0, 0
121649, 0, 0
122450, 0, 0
123275, 0, 0
124053, 0, 0
124854, 0, 0
125655, 0, 0
126479, 0, 0
127257, 0, 0
128058, 0, 0
128848, 0, 0
129672, 0, 0
130450, 0, 0
131251, 0, 0
132052, 0, 0
132876, 0, 0
133654, 0, 0
134455, 0, 0
135256, 0, 0
136081, 0, 0
136858, 0, 0
137648, 0, 0
138449, 0, 0
139273, 0, 0
140051, 0, 0
140852, 0, 0
141653, 0, 0
142652, 0, 0
143360, 0, 0
144463, 0, 0
