BPM_CALMO: 75
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
22512, 0, 0
23290, 0, 0
24091, 0, 0
24892, 0, 0
25681, 0, 0
26482, 0, 0
27295, 0, 0
28085, 0, 0
28886, 0, 0
29687, 0, 0
30488, 0, 0
31289, 0, 0
32090, 0, 0
32891, 0, 0
33692, 0, 0
34493, 0, 0
35283, 0, 0
36084, 0, 0
36897, 0, 0
37686, 0, 0
38487, 0, 0
39288, 0, 0
40089, 0, 0
40890, 0, 0
41680, 0, 0
42493, 0, 0
43294, 0, 0
44083, 0, 0
44884, 0, 0
45685, 0, 0
46486, 0, 0
47287, 0, 0
48089, 0, 0
48890, 0, 0
49691, 0, 0
50492, 0, 0
51281, 0, 0
52094, 0, 0
52883, 0, 0
53685, 0, 0
54486, 0, 0
55287, 0, 0
56088, 0, 0
56889, 0, 0
57690, 0, 0
58491, 0, 0
59292, 0, 0
60082, 0, 0
60883, 0, 0
61684, 0, 0
62485, 0, 0
63286, 0, 0
64087, 0, 0
64888, 0, 0
65689, 0, 0
66490, 0, 0
67280, 0, 0
68081, 0, 0
68708, 0, 0
69312, 0, 0
70101, 0, 0
70902, 0, 0
71703, 0, 0
72504, 0, 0
73305, 0, 0
74106, 0, 0
74896, 0, 0
75697, 0, 0
76498, 0, 0
77322, 0, 0
78147, 0, 0
78971, 0, 0
79795, 0, 0
80620, 0, 0
81444, 0, 0
82268, 0, 0
83093, 0, 0
83917, 0, 0
84741, 0, 0
85566, 0, 0
86390, 0, 0
87214, 0, 0
88038, 0, 0
88863, 0, 0
89687, 0, 0
90488, 0, 0
91278, 0, 0
92067, 0, 0
92891, 0, 0
93693, 0, 0
94494, 0, 0
95295, 0, 0
96096, 0, 0
96897, 0, 0
97698, 0, 0
98499, 0, 0
99300, 0, 0
100090, 0, 0
100891, 0, 0
101692, 0, 0
102481, 0, 0
103294, 0, 0
104095, 0, 0
104885, 0, 0
105686, 0, 0
106487, 0, 0
107288, 0, 0
108089, 0, 0
108890, 0, 0
109691, 0, 0
110492, 0, 0
111282, 0, 0
112083, 0, 0
112884, 0, 0
113697, 0, 0
114486, 0, 0
115287, 0, 0
116088, 0, 0
116889, 0, 0
117690, 0, 0
118480, 0, 0
119293, 0, 0
120094, 0, 0
120883, 0, 0
121684, 0, 0
122485, 0, 0
123286, 0, 0
124087, 0, 0
124877, 0, 0
125690, 0, 0
126491, 0, 0
127292, 0, 0
128081, 0, 0
128894, 0, 0
129695, 0, 0
130485, 0, 0
131286, 0, 0
132087, 0, 0
132888, 0, 0
133689, 0, 0
134490, 0, 0
135291, 0, 0
136092, 0, 0
136882, 0, 0
137683, 0, 0
138484, 0, 0
139285, 0, 0
140086, 0, 0
140887, 0, 0
141688, 0, 0
142292, 0, 0
142907, 0, 0
143708, 0, 0
144509, 0, 0
145299, 0, 0
146100, 0, 0
146901, 0, 0
147702, 0, 0
148503, 0, 0
149304, 0, 0
150105, 0, 0
150906, 0, 0
151696, 0, 0
152509, 0, 0
153287, 0, 0
