BPM_CALMO: 76
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
104, 0, 0
894, 0, 0
1707, 0, 0
2450, 0, 0
3228, 0, 0
3982, 0, 0
4725, 0, 0
5480, 0, 0
6188, 0, 0
6896, 0, 0
7697, 0, 0
8499, 0, 0
9300, 0, 0
10101, 0, 0
10902, 0, 0
11703, 0, 0
12504, 0, 0
13293, 0, 0
14106, 0, 0
14907, 0, 0
15697, 0, 0
16509, 0, 0
17310, 0, 0
18100, 0, 0
18901, 0, 0
19702, 0, 0
20503, 0, 0
21304, 0, 0
22094, 0, 0
22906, 0, 0
23696, 0, 0
24497, 0, 0
25298, 0, 0
26111, 0, 0
26912, 0, 0
27701, 0, 0
28491, 0, 0
29304, 0, 0
30105, 0, 0
30894, 0, 0
31695, 0, 0
32508, 0, 0
33251, 0, 0
34040, 0, 0
34830, 0, 0
35619, 0, 0
36420, 0, 0
37164, 0, 0
37883, 0, 0
38673, 0, 0
39358, 0, 0
40101, 0, 0
40890, 0, 0
41703, 0, 0
42516, 0, 0
43305, 0, 0
44106, 0, 0
44896, 0, 0
45697, 0, 0
46498, 0, 0
47287, 0, 0
48100, 0, 0
48901, 0, 0
49702, 0, 0
50503, 0, 0
51293, 0, 0
52106, 0, 0
52895, 0, 0
53685, 0, 0
54497, 0, 0
55310, 0, 0
56099, 0, 0
56900, 0, 0
57702, 0, 0
58503, 0, 0
59304, 0, 0
60082, 0, 0
60906, 0, 0
