BPM_CALMO: 76
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
15151, 0, 0
15952, 0, 0
16718, 0, 0
17508, 0, 0
18286, 0, 0
19087, 0, 0
19853, 0, 0
20654, 0, 0
21420, 0, 0
22210, 0, 0
22999, 0, 0
23789, 0, 0
24567, 0, 0
25356, 0, 0
26134, 0, 0
26807, 0, 0
27655, 0, 0
28491, 0, 0
29269, 0, 0
30058, 0, 0
30836, 0, 0
31637, 0, 0
32403, 0, 0
33205, 0, 0
33971, 0, 0
34760, 0, 0
35538, 0, 0
36328, 0, 0
37117, 0, 0
37907, 0, 0
38684, 0, 0
39462, 0, 0
40252, 0, 0
41053, 0, 0
41819, 0, 0
42609, 0, 0
43386, 0, 0
44176, 0, 0
44954, 0, 0
45755, 0, 0
46521, 0, 0
47311, 0, 0
48089, 0, 0
48878, 0, 0
49656, 0, 0
50445, 0, 0
51223, 0, 0
51908, 0, 0
52756, 0, 0
53580, 0, 0
54370, 0, 0
55159, 0, 0
55937, 0, 0
56715, 0, 0
57493, 0, 0
58270, 0, 0
59060, 0, 0
59849, 0, 0
60639, 0, 0
61428, 0, 0
62218, 0, 0
63007, 0, 0
63797, 0, 0
64586, 0, 0
65376, 0, 0
66154, 0, 0
66932, 0, 0
67709, 0, 0
68499, 0, 0
69277, 0, 0
70055, 0, 0
70832, 0, 0
71610, 0, 0
72400, 0, 0
73189, 0, 0
73979, 0, 0
74768, 0, 0
75558, 0, 0
76347, 0, 0
77137, 0, 0
77915, 0, 0
78692, 0, 0
79470, 0, 0
80260, 0, 0
81038, 0, 0
81827, 0, 0
82605, 0, 0
83394, 0, 0
84172, 0, 0
84962, 0, 0
85740, 0, 0
86529, 0, 0
87307, 0, 0
88097, 0, 0
88874, 0, 0
89664, 0, 0
90442, 0, 0
91243, 0, 0
92009, 0, 0
92810, 0, 0
93576, 0, 0
94378, 0, 0
95155, 0, 0
95945, 0, 0
96723, 0, 0
97512, 0, 0
98290, 0, 0
99080, 0, 0
99857, 0, 0
100647, 0, 0
101425, 0, 0
102110, 0, 0
102946, 0, 0
103782, 0, 0
104559, 0, 0
105349, 0, 0
106127, 0, 0
106928, 0, 0
107694, 0, 0
108495, 0, 0
109273, 0, 0
110063, 0, 0
110840, 0, 0
111630, 0, 0
112408, 0, 0
113197, 0, 0
113975, 0, 0
114753, 0, 0
115542, 0, 0
116344, 0, 0
117110, 0, 0
117899, 0, 0
118677, 0, 0
119478, 0, 0
120245, 0, 0
121046, 0, 0
121823, 0, 0
122613, 0, 0
123391, 0, 0
124180, 0, 0
124958, 0, 0
125748, 0, 0
126526, 0, 0
127199, 0, 0
128046, 0, 0
128882, 0, 0
129660, 0, 0
130450, 0, 0
131228, 0, 0
132029, 0, 0
132795, 0, 0
133596, 0, 0
134362, 0, 0
135152, 0, 0
135941, 0, 0
136731, 0, 0
137509, 0, 0
138298, 0, 0
139076, 0, 0
139854, 0, 0
140643, 0, 0
141433, 0, 0
142211, 0, 0
143000, 0, 0
143778, 0, 0
144567, 0, 0
145345, 0, 0
146135, 0, 0
146913, 0, 0
