BPM_CALMO: 78
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
12411, 0, 0
13177, 0, 0
13944, 0, 0
14721, 0, 0
15488, 0, 0
16254, 0, 0
17032, 0, 0
17798, 0, 0
18564, 0, 0
19331, 0, 0
20108, 0, 0
20875, 0, 0
21641, 0, 0
22407, 0, 0
23185, 0, 0
23951, 0, 0
24718, 0, 0
25484, 0, 0
26262, 0, 0
27028, 0, 0
27794, 0, 0
28561, 0, 0
29338, 0, 0
30105, 0, 0
30871, 0, 0
31649, 0, 0
32415, 0, 0
33181, 0, 0
33959, 0, 0
34725, 0, 0
35492, 0, 0
36258, 0, 0
37024, 0, 0
37790, 0, 0
38568, 0, 0
39335, 0, 0
40101, 0, 0
40879, 0, 0
41645, 0, 0
42411, 0, 0
43178, 0, 0
43955, 0, 0
44722, 0, 0
45488, 0, 0
46254, 0, 0
47032, 0, 0
47798, 0, 0
48565, 0, 0
49331, 0, 0
50109, 0, 0
50875, 0, 0
51641, 0, 0
52407, 0, 0
53185, 0, 0
53952, 0, 0
54718, 0, 0
55484, 0, 0
56262, 0, 0
57028, 0, 0
57794, 0, 0
58561, 0, 0
59339, 0, 0
60105, 0, 0
60883, 0, 0
61649, 0, 0
62415, 0, 0
63181, 0, 0
63959, 0, 0
64714, 0, 0
65492, 0, 0
66258, 0, 0
67024, 0, 0
67791, 0, 0
68569, 0, 0
69335, 0, 0
70101, 0, 0
70867, 0, 0
71645, 0, 0
72411, 0, 0
73236, 0, 0
73956, 0, 0
74722, 0, 0
75488, 0, 0
76266, 0, 0
77021, 0, 0
77798, 0, 0
78565, 0, 0
79331, 0, 0
80109, 0, 0
80875, 0, 0
81641, 0, 0
82408, 0, 0
83174, 0, 0
83952, 0, 0
84718, 0, 0
85496, 0, 0
86262, 0, 0
87028, 0, 0
87795, 0, 0
88573, 0, 0
89339, 0, 0
90105, 0, 0
90871, 0, 0
91638, 0, 0
92415, 0, 0
93182, 0, 0
93948, 0, 0
94714, 0, 0
95492, 0, 0
96258, 0, 0
97013, 0, 0
97814, 0, 0
98557, 0, 0
99335, 0, 0
100101, 0, 0
100879, 0, 0
101645, 0, 0
102412, 0, 0
103178, 0, 0
103956, 0, 0
104722, 0, 0
105488, 0, 0
106255, 0, 0
107032, 0, 0
107799, 0, 0
108565, 0, 0
109331, 0, 0
110097, 0, 0
110875, 0, 0
111642, 0, 0
