BPM_CALMO: 81
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
1486, 0, 0
2252, 0, 0
3019, 0, 0
3785, 0, 0
4551, 0, 0
5317, 0, 0
6084, 0, 0
6850, 0, 0
7593, 0, 0
8348, 0, 0
9079, 0, 0
9857, 0, 0
10635, 0, 0
11413, 0, 0
12190, 0, 0
13015, 0, 0
13874, 0, 0
14710, 0, 0
15430, 0, 0
16219, 0, 0
16974, 0, 0
17717, 0, 0
18448, 0, 0
19168, 0, 0
19958, 0, 0
20712, 0, 0
21455, 0, 0
22210, 0, 0
22965, 0, 0
23708, 0, 0
24462, 0, 0
25205, 0, 0
25960, 0, 0
26715, 0, 0
27434, 0, 0
28212, 0, 0
28909, 0, 0
29571, 0, 0
30290, 0, 0
31115, 0, 0
31846, 0, 0
32659, 0, 0
33367, 0, 0
34215, 0, 0
34934, 0, 0
35747, 0, 0
36455, 0, 0
37222, 0, 0
37941, 0, 0
38661, 0, 0
39462, 0, 0
40217, 0, 0
40960, 0, 0
41715, 0, 0
42458, 0, 0
43201, 0, 0
43955, 0, 0
44710, 0, 0
45465, 0, 0
46208, 0, 0
46916, 0, 0
47636, 0, 0
48309, 0, 0
49087, 0, 0
49900, 0, 0
50712, 0, 0
51455, 0, 0
52164, 0, 0
52918, 0, 0
53719, 0, 0
54393, 0, 0
55205, 0, 0
55960, 0, 0
56680, 0, 0
57458, 0, 0
58212, 0, 0
58874, 0, 0
59594, 0, 0
60325, 0, 0
61103, 0, 0
61858, 0, 0
62601, 0, 0
63460, 0, 0
64215, 0, 0
64946, 0, 0
65689, 0, 0
66456, 0, 0
67210, 0, 0
67895, 0, 0
68719, 0, 0
69462, 0, 0
70217, 0, 0
70914, 0, 0
71657, 0, 0
72377, 0, 0
73073, 0, 0
73874, 0, 0
74617, 0, 0
75314, 0, 0
76150, 0, 0
76846, 0, 0
77578, 0, 0
78460, 0, 0
79215, 0, 0
79958, 0, 0
80713, 0, 0
81467, 0, 0
82164, 0, 0
82814, 0, 0
83557, 0, 0
84370, 0, 0
85078, 0, 0
85821, 0, 0
86587, 0, 0
87353, 0, 0
88120, 0, 0
88851, 0, 0
89606, 0, 0
90349, 0, 0
91092, 0, 0
91835, 0, 0
92590, 0, 0
93356, 0, 0
94122, 0, 0
94923, 0, 0
95713, 0, 0
96491, 0, 0
97210, 0, 0
97953, 0, 0
98708, 0, 0
99463, 0, 0
100217, 0, 0
100960, 0, 0
101703, 0, 0
102458, 0, 0
103213, 0, 0
103956, 0, 0
104722, 0, 0
105453, 0, 0
106208, 0, 0
106963, 0, 0
107706, 0, 0
108460, 0, 0
109215, 0, 0
109958, 0, 0
110701, 0, 0
111456, 0, 0
112210, 0, 0
112953, 0, 0
113708, 0, 0
114463, 0, 0
115183, 0, 0
115960, 0, 0
116715, 0, 0
117458, 0, 0
118224, 0, 0
118956, 0, 0
