BPM_CALMO: 80
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
1916, 0, 0
2659, 0, 0
3402, 0, 0
6444, 0, 0
7221, 0, 0
7988, 0, 0
8754, 0, 0
9520, 0, 0
10286, 0, 0
11053, 0, 0
11819, 0, 0
12585, 0, 0
13351, 0, 0
14118, 0, 0
14896, 0, 0
15673, 0, 0
16451, 0, 0
17229, 0, 0
18007, 0, 0
18785, 0, 0
19551, 0, 0
20294, 0, 0
21049, 0, 0
21804, 0, 0
22558, 0, 0
23313, 0, 0
24056, 0, 0
24811, 0, 0
25565, 0, 0
26320, 0, 0
27063, 0, 0
27806, 0, 0
28549, 0, 0
29292, 0, 0
30035, 0, 0
30790, 0, 0
31544, 0, 0
32287, 0, 0
33042, 0, 0
33797, 0, 0
34540, 0, 0
35294, 0, 0
36037, 0, 0
36792, 0, 0
37547, 0, 0
38290, 0, 0
39044, 0, 0
39787, 0, 0
40542, 0, 0
41297, 0, 0
42040, 0, 0
42794, 0, 0
43537, 0, 0
44292, 0, 0
45035, 0, 0
45790, 0, 0
46544, 0, 0
47287, 0, 0
48042, 0, 0
48797, 0, 0
49540, 0, 0
50294, 0, 0
51037, 0, 0
51792, 0, 0
52547, 0, 0
53290, 0, 0
54044, 0, 0
54787, 0, 0
55542, 0, 0
56297, 0, 0
57040, 0, 0
57794, 0, 0
58538, 0, 0
59292, 0, 0
60035, 0, 0
60790, 0, 0
61544, 0, 0
62288, 0, 0
63042, 0, 0
63797, 0, 0
64540, 0, 0
65295, 0, 0
66038, 0, 0
66792, 0, 0
67547, 0, 0
68290, 0, 0
69033, 0, 0
69788, 0, 0
70542, 0, 0
71297, 0, 0
72040, 0, 0
72795, 0, 0
73538, 0, 0
74292, 0, 0
75035, 0, 0
75790, 0, 0
76545, 0, 0
77288, 0, 0
78042, 0, 0
78797, 0, 0
79552, 0, 0
80306, 0, 0
81061, 0, 0
81816, 0, 0
82559, 0, 0
83313, 0, 0
84068, 0, 0
84822, 0, 0
85577, 0, 0
86332, 0, 0
87086, 0, 0
87841, 0, 0
88596, 0, 0
89350, 0, 0
90105, 0, 0
90860, 0, 0
91614, 0, 0
92369, 0, 0
93124, 0, 0
93867, 0, 0
94610, 0, 0
95353, 0, 0
96096, 0, 0
96839, 0, 0
97582, 0, 0
98325, 0, 0
99068, 0, 0
99811, 0, 0
100554, 0, 0
101297, 0, 0
102040, 0, 0
102795, 0, 0
103538, 0, 0
104292, 0, 0
105035, 0, 0
105790, 0, 0
106545, 0, 0
107288, 0, 0
108042, 0, 0
108785, 0, 0
109540, 0, 0
110295, 0, 0
111038, 0, 0
111792, 0, 0
112547, 0, 0
113290, 0, 0
114033, 0, 0
114788, 0, 0
115542, 0, 0
116297, 0, 0
117040, 0, 0
117795, 0, 0
118538, 0, 0
119293, 0, 0
120036, 0, 0
120790, 0, 0
121545, 0, 0
122288, 0, 0
123043, 0, 0
123797, 0, 0
124540, 0, 0
125295, 0, 0
126038, 0, 0
126793, 0, 0
127547, 0, 0
128290, 0, 0
129045, 0, 0
129788, 0, 0
130543, 0, 0
131297, 0, 0
132040, 0, 0
132795, 0, 0
133538, 0, 0
134293, 0, 0
135036, 0, 0
135790, 0, 0
136545, 0, 0
137288, 0, 0
138043, 0, 0
138797, 0, 0
139540, 0, 0
140295, 0, 0
141038, 0, 0
141793, 0, 0
142536, 0, 0
143290, 0, 0
144045, 0, 0
144788, 0, 0
145543, 0, 0
146297, 0, 0
147040, 0, 0
147795, 0, 0
148538, 0, 0
149293, 0, 0
