BPM_CALMO: 81
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
58, 0, 0
813, 0, 0
1544, 0, 0
2310, 0, 0
3053, 0, 0
3808, 0, 0
4551, 0, 0
5317, 0, 0
6060, 0, 0
6803, 0, 0
7546, 0, 0
8313, 0, 0
9056, 0, 0
9799, 0, 0
10553, 0, 0
11297, 0, 0
12063, 0, 0
12794, 0, 0
13549, 0, 0
14315, 0, 0
15058, 0, 0
15801, 0, 0
16544, 0, 0
17299, 0, 0
18065, 0, 0
18797, 0, 0
19551, 0, 0
20306, 0, 0
21060, 0, 0
21804, 0, 0
22547, 0, 0
23301, 0, 0
24056, 0, 0
24799, 0, 0
25554, 0, 0
26320, 0, 0
27063, 0, 0
27806, 0, 0
28549, 0, 0
29315, 0, 0
30058, 0, 0
30801, 0, 0
31544, 0, 0
32311, 0, 0
33054, 0, 0
33797, 0, 0
34551, 0, 0
35294, 0, 0
36061, 0, 0
36804, 0, 0
37547, 0, 0
38313, 0, 0
39056, 0, 0
39799, 0, 0
40554, 0, 0
41308, 0, 0
42063, 0, 0
42806, 0, 0
43549, 0, 0
44315, 0, 0
45058, 0, 0
45801, 0, 0
46544, 0, 0
47299, 0, 0
48054, 0, 0
48797, 0, 0
49551, 0, 0
50318, 0, 0
51061, 0, 0
51804, 0, 0
52547, 0, 0
53313, 0, 0
54044, 0, 0
54787, 0, 0
55554, 0, 0
56297, 0, 0
57051, 0, 0
57794, 0, 0
58549, 0, 0
59304, 0, 0
60058, 0, 0
60801, 0, 0
61556, 0, 0
62299, 0, 0
63042, 0, 0
63808, 0, 0
64563, 0, 0
65318, 0, 0
66061, 0, 0
66792, 0, 0
67535, 0, 0
68301, 0, 0
69045, 0, 0
69811, 0, 0
70589, 0, 0
71320, 0, 0
72063, 0, 0
72806, 0, 0
73561, 0, 0
74304, 0, 0
75047, 0, 0
75802, 0, 0
76545, 0, 0
77311, 0, 0
78065, 0, 0
78797, 0, 0
79552, 0, 0
80306, 0, 0
81049, 0, 0
81827, 0, 0
82593, 0, 0
83325, 0, 0
84068, 0, 0
84799, 0, 0
85554, 0, 0
86297, 0, 0
87052, 0, 0
87795, 0, 0
88561, 0, 0
89316, 0, 0
90059, 0, 0
90802, 0, 0
91556, 0, 0
92299, 0, 0
93042, 0, 0
93820, 0, 0
94586, 0, 0
95318, 0, 0
96073, 0, 0
96792, 0, 0
97547, 0, 0
98302, 0, 0
99045, 0, 0
99811, 0, 0
100554, 0, 0
101297, 0, 0
102063, 0, 0
102806, 0, 0
103549, 0, 0
104304, 0, 0
105047, 0, 0
105813, 0, 0
106545, 0, 0
107311, 0, 0
108054, 0, 0
108809, 0, 0
109552, 0, 0
110306, 0, 0
111049, 0, 0
111804, 0, 0
112547, 0, 0
113313, 0, 0
114056, 0, 0
114811, 0, 0
115542, 0, 0
116309, 0, 0
117052, 0, 0
117806, 0, 0
118549, 0, 0
119316, 0, 0
120059, 0, 0
120813, 0, 0
121545, 0, 0
122311, 0, 0
123043, 0, 0
123809, 0, 0
124552, 0, 0
125318, 0, 0
126061, 0, 0
126804, 0, 0
127547, 0, 0
128302, 0, 0
129045, 0, 0
129800, 0, 0
130554, 0, 0
131297, 0, 0
132063, 0, 0
132795, 0, 0
133550, 0, 0
134304, 0, 0
135047, 0, 0
135802, 0, 0
136545, 0, 0
137311, 0, 0
138066, 0, 0
138797, 0, 0
139552, 0, 0
140295, 0, 0
141050, 0, 0
141804, 0, 0
142547, 0, 0
143302, 0, 0
144068, 0, 0
144800, 0, 0
145543, 0, 0
146309, 0, 0
147052, 0, 0
147807, 0, 0
148550, 0, 0
149316, 0, 0
150059, 0, 0
150790, 0, 0
151545, 0, 0
152300, 0, 0
153054, 0, 0
153797, 0, 0
154540, 0, 0
155307, 0, 0
156061, 0, 0
156804, 0, 0
157547, 0, 0
158302, 0, 0
159045, 0, 0
159800, 0, 0
160554, 0, 0
161309, 0, 0
162064, 0, 0
162795, 0, 0
163550, 0, 0
164304, 0, 0
165047, 0, 0
165802, 0, 0
166545, 0, 0
167300, 0, 0
168054, 0, 0
168809, 0, 0
169552, 0, 0
170307, 0, 0
171050, 0, 0
171804, 0, 0
172547, 0, 0
173314, 0, 0
174057, 0, 0
