BPM_CALMO: 108
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
24799, 0, 0
25298, 0, 0
25797, 0, 0
26297, 0, 0
26796, 0, 0
27295, 0, 0
27794, 0, 0
28305, 0, 0
28804, 0, 0
29304, 0, 0
29803, 0, 0
30302, 0, 0
30801, 0, 0
31347, 0, 0
31823, 0, 0
32299, 0, 0
32798, 0, 0
33297, 0, 0
33797, 0, 0
34296, 0, 0
34795, 0, 0
35294, 0, 0
35805, 0, 0
36304, 0, 0
36804, 0, 0
37349, 0, 0
37825, 0, 0
38301, 0, 0
38801, 0, 0
39300, 0, 0
39799, 0, 0
40298, 0, 0
40797, 0, 0
41297, 0, 0
41808, 0, 0
42307, 0, 0
42806, 0, 0
43352, 0, 0
43828, 0, 0
44304, 0, 0
44803, 0, 0
45302, 0, 0
45801, 0, 0
46301, 0, 0
46800, 0, 0
47299, 0, 0
47926, 0, 0
48541, 0, 0
49168, 0, 0
49737, 0, 0
50306, 0, 0
50863, 0, 0
51432, 0, 0
52164, 0, 0
52744, 0, 0
53301, 0, 0
53859, 0, 0
54416, 0, 0
55171, 0, 0
55740, 0, 0
56308, 0, 0
56866, 0, 0
57423, 0, 0
58166, 0, 0
58735, 0, 0
59304, 0, 0
59861, 0, 0
60430, 0, 0
61161, 0, 0
61742, 0, 0
62299, 0, 0
62868, 0, 0
63425, 0, 0
63994, 0, 0
64551, 0, 0
65109, 0, 0
65666, 0, 0
66235, 0, 0
66804, 0, 0
67361, 0, 0
67930, 0, 0
68487, 0, 0
69056, 0, 0
69625, 0, 0
70182, 0, 0
70740, 0, 0
71308, 0, 0
71854, 0, 0
72330, 0, 0
72806, 0, 0
73352, 0, 0
73828, 0, 0
74304, 0, 0
74861, 0, 0
75337, 0, 0
75802, 0, 0
76359, 0, 0
76823, 0, 0
77299, 0, 0
77857, 0, 0
78333, 0, 0
78797, 0, 0
79354, 0, 0
79819, 0, 0
80295, 0, 0
80863, 0, 0
81340, 0, 0
81804, 0, 0
82350, 0, 0
82826, 0, 0
83302, 0, 0
83859, 0, 0
84335, 0, 0
84799, 0, 0
85357, 0, 0
85821, 0, 0
86297, 0, 0
86854, 0, 0
87319, 0, 0
87795, 0, 0
88352, 0, 0
88828, 0, 0
89304, 0, 0
89861, 0, 0
90337, 0, 0
90802, 0, 0
91359, 0, 0
91823, 0, 0
92299, 0, 0
92857, 0, 0
93425, 0, 0
93983, 0, 0
94540, 0, 0
95109, 0, 0
95666, 0, 0
96247, 0, 0
96804, 0, 0
97350, 0, 0
97826, 0, 0
98302, 0, 0
98859, 0, 0
99335, 0, 0
99799, 0, 0
100357, 0, 0
100821, 0, 0
101297, 0, 0
101854, 0, 0
102330, 0, 0
102806, 0, 0
103352, 0, 0
103828, 0, 0
104304, 0, 0
104861, 0, 0
105337, 0, 0
105802, 0, 0
106347, 0, 0
106823, 0, 0
107299, 0, 0
107857, 0, 0
108333, 0, 0
108797, 0, 0
109354, 0, 0
109819, 0, 0
110295, 0, 0
110864, 0, 0
111340, 0, 0
111804, 0, 0
112350, 0, 0
112826, 0, 0
113302, 0, 0
113859, 0, 0
114335, 0, 0
114799, 0, 0
115357, 0, 0
115821, 0, 0
116297, 0, 0
116854, 0, 0
117330, 0, 0
117795, 0, 0
118352, 0, 0
118828, 0, 0
119304, 0, 0
119873, 0, 0
120512, 0, 0
121162, 0, 0
121742, 0, 0
122311, 0, 0
122868, 0, 0
123426, 0, 0
123983, 0, 0
124552, 0, 0
125121, 0, 0
125678, 0, 0
126247, 0, 0
126804, 0, 0
127361, 0, 0
127930, 0, 0
128499, 0, 0
129057, 0, 0
129614, 0, 0
130171, 0, 0
130740, 0, 0
131297, 0, 0
131866, 0, 0
132423, 0, 0
133166, 0, 0
133735, 0, 0
134304, 0, 0
134861, 0, 0
135430, 0, 0
136173, 0, 0
136742, 0, 0
137300, 0, 0
137868, 0, 0
138426, 0, 0
139169, 0, 0
139738, 0, 0
140307, 0, 0
140864, 0, 0
141421, 0, 0
141990, 0, 0
142547, 0, 0
143116, 0, 0
