BPM_CALMO: 81
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
116, 0, 0
952, 0, 0
1695, 0, 0
2403, 0, 0
3077, 0, 0
3820, 0, 0
4563, 0, 0
5306, 0, 0
6049, 0, 0
6792, 0, 0
7546, 0, 0
8290, 0, 0
9021, 0, 0
9776, 0, 0
10507, 0, 0
11262, 0, 0
12005, 0, 0
12748, 0, 0
13491, 0, 0
14234, 0, 0
14965, 0, 0
15720, 0, 0
16463, 0, 0
17218, 0, 0
17949, 0, 0
18704, 0, 0
19447, 0, 0
20190, 0, 0
20933, 0, 0
21676, 0, 0
22419, 0, 0
23162, 0, 0
23905, 0, 0
24648, 0, 0
25403, 0, 0
26146, 0, 0
26865, 0, 0
27620, 0, 0
28375, 0, 0
29118, 0, 0
29861, 0, 0
30604, 0, 0
31347, 0, 0
32090, 0, 0
32833, 0, 0
33576, 0, 0
34331, 0, 0
35062, 0, 0
35817, 0, 0
36560, 0, 0
37303, 0, 0
38046, 0, 0
38789, 0, 0
39532, 0, 0
40275, 0, 0
41006, 0, 0
41749, 0, 0
42504, 0, 0
43247, 0, 0
43990, 0, 0
44733, 0, 0
45465, 0, 0
46208, 0, 0
46962, 0, 0
47671, 0, 0
48425, 0, 0
49157, 0, 0
49900, 0, 0
50643, 0, 0
51432, 0, 0
52175, 0, 0
52907, 0, 0
53661, 0, 0
54404, 0, 0
55159, 0, 0
55902, 0, 0
56645, 0, 0
57365, 0, 0
58108, 0, 0
58863, 0, 0
59571, 0, 0
60325, 0, 0
61068, 0, 0
61800, 0, 0
62543, 0, 0
63332, 0, 0
64075, 0, 0
64819, 0, 0
65562, 0, 0
66316, 0, 0
67059, 0, 0
67802, 0, 0
68545, 0, 0
69265, 0, 0
70020, 0, 0
70774, 0, 0
71483, 0, 0
72226, 0, 0
72969, 0, 0
73700, 0, 0
74443, 0, 0
75244, 0, 0
75987, 0, 0
76719, 0, 0
77462, 0, 0
78216, 0, 0
78959, 0, 0
79702, 0, 0
80446, 0, 0
81177, 0, 0
81920, 0, 0
82675, 0, 0
83383, 0, 0
84138, 0, 0
84869, 0, 0
85612, 0, 0
