BPM_CALMO: 83
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
128, 0, 0
859, 0, 0
1591, 0, 0
2310, 0, 0
3030, 0, 0
3750, 0, 0
4481, 0, 0
5201, 0, 0
5921, 0, 0
6641, 0, 0
7361, 0, 0
8081, 0, 0
8812, 0, 0
9532, 0, 0
10252, 0, 0
10983, 0, 0
11703, 0, 0
12423, 0, 0
13154, 0, 0
13862, 0, 0
14605, 0, 0
15314, 0, 0
16045, 0, 0
16765, 0, 0
17508, 0, 0
18204, 0, 0
18936, 0, 0
19656, 0, 0
20376, 0, 0
21095, 0, 0
21838, 0, 0
22558, 0, 0
23255, 0, 0
23986, 0, 0
24729, 0, 0
25437, 0, 0
26146, 0, 0
26877, 0, 0
27620, 0, 0
28328, 0, 0
29060, 0, 0
29780, 0, 0
30523, 0, 0
31219, 0, 0
31939, 0, 0
32659, 0, 0
33414, 0, 0
34122, 0, 0
34842, 0, 0
35561, 0, 0
36304, 0, 0
37001, 0, 0
37709, 0, 0
38452, 0, 0
39184, 0, 0
39892, 0, 0
40612, 0, 0
41343, 0, 0
42075, 0, 0
42783, 0, 0
43503, 0, 0
44234, 0, 0
44977, 0, 0
45708, 0, 0
46417, 0, 0
47125, 0, 0
47856, 0, 0
48565, 0, 0
49284, 0, 0
50016, 0, 0
50759, 0, 0
51455, 0, 0
52187, 0, 0
52907, 0, 0
53650, 0, 0
54346, 0, 0
55066, 0, 0
55798, 0, 0
56541, 0, 0
57249, 0, 0
57992, 0, 0
58688, 0, 0
59431, 0, 0
60140, 0, 0
60848, 0, 0
61579, 0, 0
62322, 0, 0
63031, 0, 0
63750, 0, 0
64470, 0, 0
65213, 0, 0
65921, 0, 0
66641, 0, 0
67361, 0, 0
68093, 0, 0
68812, 0, 0
69532, 0, 0
70252, 0, 0
70995, 0, 0
71703, 0, 0
72435, 0, 0
73143, 0, 0
73886, 0, 0
74594, 0, 0
75326, 0, 0
76034, 0, 0
76788, 0, 0
77485, 0, 0
78216, 0, 0
78925, 0, 0
79679, 0, 0
80376, 0, 0
81119, 0, 0
81816, 0, 0
82559, 0, 0
83267, 0, 0
83987, 0, 0
84706, 0, 0
85449, 0, 0
86158, 0, 0
86877, 0, 0
87609, 0, 0
88340, 0, 0
89049, 0, 0
89780, 0, 0
90500, 0, 0
91243, 0, 0
91939, 0, 0
92659, 0, 0
93391, 0, 0
94110, 0, 0
94842, 0, 0
95562, 0, 0
96282, 0, 0
97001, 0, 0
97733, 0, 0
98453, 0, 0
99172, 0, 0
99892, 0, 0
100624, 0, 0
101332, 0, 0
102063, 0, 0
102795, 0, 0
103515, 0, 0
104246, 0, 0
104966, 0, 0
105686, 0, 0
106405, 0, 0
107137, 0, 0
107845, 0, 0
108577, 0, 0
109296, 0, 0
110028, 0, 0
110748, 0, 0
111467, 0, 0
112187, 0, 0
112907, 0, 0
113638, 0, 0
114358, 0, 0
115078, 0, 0
115798, 0, 0
116518, 0, 0
117249, 0, 0
117969, 0, 0
118689, 0, 0
119409, 0, 0
120152, 0, 0
120860, 0, 0
121580, 0, 0
122300, 0, 0
123031, 0, 0
123751, 0, 0
124471, 0, 0
125190, 0, 0
125922, 0, 0
126642, 0, 0
127373, 0, 0
128093, 0, 0
128836, 0, 0
129533, 0, 0
130252, 0, 0
130972, 0, 0
131727, 0, 0
132423, 0, 0
133143, 0, 0
133875, 0, 0
134606, 0, 0
135314, 0, 0
136034, 0, 0
136766, 0, 0
137509, 0, 0
138240, 0, 0
138971, 0, 0
139656, 0, 0
140376, 0, 0
141096, 0, 0
141816, 0, 0
142547, 0, 0
143279, 0, 0
143987, 0, 0
144718, 0, 0
145438, 0, 0
146158, 0, 0
146878, 0, 0
147598, 0, 0
148329, 0, 0
149049, 0, 0
149769, 0, 0
150500, 0, 0
151220, 0, 0
151951, 0, 0
152660, 0, 0
153379, 0, 0
154111, 0, 0
154842, 0, 0
155562, 0, 0
156282, 0, 0
157002, 0, 0
157733, 0, 0
158453, 0, 0
159173, 0, 0
159893, 0, 0
160624, 0, 0
161344, 0, 0
162087, 0, 0
162807, 0, 0
163527, 0, 0
164258, 0, 0
164978, 0, 0
165698, 0, 0
166417, 0, 0
167149, 0, 0
167869, 0, 0
168588, 0, 0
169308, 0, 0
170040, 0, 0
170760, 0, 0
171479, 0, 0
172199, 0, 0
172931, 0, 0
173650, 0, 0
174370, 0, 0
175102, 0, 0
175821, 0, 0
176541, 0, 0
177261, 0, 0
177981, 0, 0
178712, 0, 0
179432, 0, 0
180152, 0, 0
180883, 0, 0
181603, 0, 0
182323, 0, 0
183043, 0, 0
183774, 0, 0
184494, 0, 0
185202, 0, 0
185911, 0, 0
186630, 0, 0
