BPM_CALMO: 83
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
81, 0, 0
801, 0, 0
1509, 0, 0
2229, 0, 0
2949, 0, 0
3669, 0, 0
4389, 0, 0
5097, 0, 0
5793, 0, 0
6513, 0, 0
7221, 0, 0
7941, 0, 0
8661, 0, 0
9381, 0, 0
10101, 0, 0
10820, 0, 0
11517, 0, 0
12225, 0, 0
12945, 0, 0
13665, 0, 0
14385, 0, 0
15081, 0, 0
15813, 0, 0
16533, 0, 0
17229, 0, 0
17937, 0, 0
18657, 0, 0
19377, 0, 0
20097, 0, 0
20805, 0, 0
21513, 0, 0
22233, 0, 0
22941, 0, 0
23661, 0, 0
24369, 0, 0
25089, 0, 0
25797, 0, 0
26517, 0, 0
27225, 0, 0
27945, 0, 0
28653, 0, 0
29362, 0, 0
30081, 0, 0
30801, 0, 0
31521, 0, 0
32229, 0, 0
32949, 0, 0
33657, 0, 0
34366, 0, 0
35085, 0, 0
35805, 0, 0
36513, 0, 0
37233, 0, 0
37941, 0, 0
38661, 0, 0
39369, 0, 0
40089, 0, 0
40797, 0, 0
41517, 0, 0
42237, 0, 0
42945, 0, 0
43665, 0, 0
44373, 0, 0
45093, 0, 0
45801, 0, 0
46521, 0, 0
47229, 0, 0
47949, 0, 0
48657, 0, 0
49377, 0, 0
50097, 0, 0
50817, 0, 0
51513, 0, 0
52222, 0, 0
52941, 0, 0
53661, 0, 0
54381, 0, 0
55101, 0, 0
55821, 0, 0
56529, 0, 0
57226, 0, 0
57945, 0, 0
58665, 0, 0
59385, 0, 0
60093, 0, 0
60813, 0, 0
61533, 0, 0
62253, 0, 0
62949, 0, 0
63658, 0, 0
64366, 0, 0
65086, 0, 0
65805, 0, 0
66514, 0, 0
67222, 0, 0
67942, 0, 0
68661, 0, 0
69381, 0, 0
70089, 0, 0
70798, 0, 0
71517, 0, 0
72226, 0, 0
72945, 0, 0
73654, 0, 0
74374, 0, 0
75082, 0, 0
75802, 0, 0
76521, 0, 0
77230, 0, 0
77949, 0, 0
78658, 0, 0
79366, 0, 0
80086, 0, 0
80805, 0, 0
81514, 0, 0
82233, 0, 0
82953, 0, 0
83661, 0, 0
84370, 0, 0
85066, 0, 0
85798, 0, 0
86518, 0, 0
87226, 0, 0
87946, 0, 0
88665, 0, 0
89374, 0, 0
90082, 0, 0
90802, 0, 0
91510, 0, 0
92218, 0, 0
92949, 0, 0
93658, 0, 0
94378, 0, 0
95097, 0, 0
95829, 0, 0
96525, 0, 0
97222, 0, 0
97942, 0, 0
98650, 0, 0
99370, 0, 0
100090, 0, 0
100809, 0, 0
101529, 0, 0
102249, 0, 0
102946, 0, 0
103654, 0, 0
104374, 0, 0
105094, 0, 0
105813, 0, 0
106522, 0, 0
107230, 0, 0
107950, 0, 0
108658, 0, 0
109378, 0, 0
110097, 0, 0
110817, 0, 0
111525, 0, 0
112234, 0, 0
112953, 0, 0
113697, 0, 0
114428, 0, 0
115136, 0, 0
115856, 0, 0
116564, 0, 0
117272, 0, 0
117992, 0, 0
118712, 0, 0
119432, 0, 0
120152, 0, 0
120848, 0, 0
121568, 0, 0
122288, 0, 0
123008, 0, 0
123704, 0, 0
124401, 0, 0
125098, 0, 0
125806, 0, 0
126526, 0, 0
127245, 0, 0
127965, 0, 0
128685, 0, 0
129405, 0, 0
130125, 0, 0
130844, 0, 0
131564, 0, 0
132284, 0, 0
132992, 0, 0
133689, 0, 0
134385, 0, 0
135094, 0, 0
135802, 0, 0
136510, 0, 0
137230, 0, 0
137950, 0, 0
138658, 0, 0
139378, 0, 0
140086, 0, 0
140806, 0, 0
141514, 0, 0
142222, 0, 0
142942, 0, 0
143662, 0, 0
144370, 0, 0
145090, 0, 0
145798, 0, 0
146518, 0, 0
147226, 0, 0
147946, 0, 0
148654, 0, 0
149374, 0, 0
150094, 0, 0
150802, 0, 0
151510, 0, 0
152230, 0, 0
152938, 0, 0
153670, 0, 0
154378, 0, 0
155086, 0, 0
155806, 0, 0
156526, 0, 0
157234, 0, 0
157942, 0, 0
158662, 0, 0
