BPM_CALMO: 86
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
151, 0, 0
871, 0, 0
1591, 0, 0
2287, 0, 0
2984, 0, 0
3680, 0, 0
4400, 0, 0
5097, 0, 0
5793, 0, 0
6513, 0, 0
7233, 0, 0
7941, 0, 0
8638, 0, 0
9334, 0, 0
10043, 0, 0
10739, 0, 0
11436, 0, 0
12156, 0, 0
12852, 0, 0
13572, 0, 0
14280, 0, 0
14977, 0, 0
15673, 0, 0
16393, 0, 0
17090, 0, 0
17810, 0, 0
18495, 0, 0
19226, 0, 0
19923, 0, 0
20619, 0, 0
21316, 0, 0
22036, 0, 0
22732, 0, 0
23452, 0, 0
24149, 0, 0
24869, 0, 0
25565, 0, 0
26273, 0, 0
26970, 0, 0
27690, 0, 0
28386, 0, 0
29106, 0, 0
29791, 0, 0
30511, 0, 0
31219, 0, 0
31916, 0, 0
32612, 0, 0
33332, 0, 0
34029, 0, 0
34737, 0, 0
35434, 0, 0
36153, 0, 0
36862, 0, 0
37570, 0, 0
38266, 0, 0
38975, 0, 0
39683, 0, 0
40380, 0, 0
41088, 0, 0
41808, 0, 0
42504, 0, 0
43212, 0, 0
43909, 0, 0
44629, 0, 0
45325, 0, 0
46034, 0, 0
46730, 0, 0
47450, 0, 0
48158, 0, 0
48866, 0, 0
49551, 0, 0
50271, 0, 0
50968, 0, 0
51688, 0, 0
52384, 0, 0
53092, 0, 0
53801, 0, 0
54509, 0, 0
55205, 0, 0
55925, 0, 0
56622, 0, 0
57330, 0, 0
58027, 0, 0
58746, 0, 0
59455, 0, 0
60151, 0, 0
60848, 0, 0
61579, 0, 0
62264, 0, 0
62984, 0, 0
63681, 0, 0
64401, 0, 0
65097, 0, 0
65794, 0, 0
66502, 0, 0
67210, 0, 0
67907, 0, 0
68627, 0, 0
69323, 0, 0
70043, 0, 0
70751, 0, 0
71448, 0, 0
72144, 0, 0
72864, 0, 0
73561, 0, 0
74281, 0, 0
74966, 0, 0
75685, 0, 0
76394, 0, 0
77090, 0, 0
77787, 0, 0
78507, 0, 0
79215, 0, 0
79923, 0, 0
80620, 0, 0
81340, 0, 0
82036, 0, 0
82744, 0, 0
83441, 0, 0
84161, 0, 0
84857, 0, 0
85554, 0, 0
86262, 0, 0
86982, 0, 0
87690, 0, 0
88387, 0, 0
89083, 0, 0
89815, 0, 0
90500, 0, 0
91208, 0, 0
91905, 0, 0
92624, 0, 0
93333, 0, 0
94041, 0, 0
94737, 0, 0
95446, 0, 0
96154, 0, 0
96862, 0, 0
97559, 0, 0
98278, 0, 0
98975, 0, 0
99683, 0, 0
100380, 0, 0
