BPM_CALMO: 85
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
4331, 0, 0
4981, 0, 0
5712, 0, 0
6409, 0, 0
7117, 0, 0
7825, 0, 0
8533, 0, 0
9230, 0, 0
9938, 0, 0
10646, 0, 0
11355, 0, 0
12051, 0, 0
12771, 0, 0
13526, 0, 0
14187, 0, 0
14872, 0, 0
15592, 0, 0
16300, 0, 0
17009, 0, 0
17705, 0, 0
18413, 0, 0
19122, 0, 0
19818, 0, 0
20515, 0, 0
21235, 0, 0
21943, 0, 0
22639, 0, 0
23348, 0, 0
24056, 0, 0
24764, 0, 0
25484, 0, 0
26204, 0, 0
26889, 0, 0
27632, 0, 0
28282, 0, 0
28944, 0, 0
29605, 0, 0
30314, 0, 0
31022, 0, 0
31823, 0, 0
32531, 0, 0
33239, 0, 0
33924, 0, 0
34633, 0, 0
35352, 0, 0
36061, 0, 0
36769, 0, 0
37465, 0, 0
38174, 0, 0
38859, 0, 0
39590, 0, 0
40287, 0, 0
40995, 0, 0
41703, 0, 0
42411, 0, 0
43119, 0, 0
43828, 0, 0
44524, 0, 0
45232, 0, 0
45929, 0, 0
46649, 0, 0
47357, 0, 0
48054, 0, 0
48762, 0, 0
49470, 0, 0
50178, 0, 0
50712, 0, 0
51246, 0, 0
51943, 0, 0
52651, 0, 0
53359, 0, 0
54068, 0, 0
54787, 0, 0
55496, 0, 0
56192, 0, 0
56900, 0, 0
57609, 0, 0
58317, 0, 0
58967, 0, 0
59582, 0, 0
60140, 0, 0
60801, 0, 0
61521, 0, 0
62218, 0, 0
62868, 0, 0
63588, 0, 0
64284, 0, 0
65004, 0, 0
65701, 0, 0
66421, 0, 0
67106, 0, 0
67825, 0, 0
68534, 0, 0
69242, 0, 0
69939, 0, 0
70647, 0, 0
71355, 0, 0
72052, 0, 0
72760, 0, 0
73468, 0, 0
74176, 0, 0
74884, 0, 0
75581, 0, 0
76289, 0, 0
76997, 0, 0
77694, 0, 0
78402, 0, 0
79122, 0, 0
79819, 0, 0
80527, 0, 0
81223, 0, 0
81943, 0, 0
82651, 0, 0
83371, 0, 0
84114, 0, 0
84811, 0, 0
85519, 0, 0
86239, 0, 0
86947, 0, 0
87644, 0, 0
88329, 0, 0
89002, 0, 0
89699, 0, 0
90419, 0, 0
91115, 0, 0
91823, 0, 0
92520, 0, 0
93240, 0, 0
93936, 0, 0
94645, 0, 0
95341, 0, 0
96061, 0, 0
96827, 0, 0
97477, 0, 0
98162, 0, 0
98871, 0, 0
99590, 0, 0
100275, 0, 0
100995, 0, 0
101692, 0, 0
102412, 0, 0
103097, 0, 0
103816, 0, 0
104513, 0, 0
105233, 0, 0
105918, 0, 0
106638, 0, 0
107334, 0, 0
108054, 0, 0
108588, 0, 0
