BPM_CALMO: 92
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
104, 0, 0
755, 0, 0
1405, 0, 0
2055, 0, 0
2705, 0, 0
3355, 0, 0
4005, 0, 0
4656, 0, 0
5306, 0, 0
5956, 0, 0
6606, 0, 0
7256, 0, 0
7906, 0, 0
8557, 0, 0
9207, 0, 0
9857, 0, 0
10507, 0, 0
11157, 0, 0
11807, 0, 0
12458, 0, 0
13108, 0, 0
13758, 0, 0
14408, 0, 0
15058, 0, 0
15708, 0, 0
16358, 0, 0
17009, 0, 0
17659, 0, 0
18309, 0, 0
18959, 0, 0
19609, 0, 0
20271, 0, 0
20921, 0, 0
21595, 0, 0
22245, 0, 0
22860, 0, 0
23417, 0, 0
24091, 0, 0
24822, 0, 0
25507, 0, 0
26239, 0, 0
26912, 0, 0
27655, 0, 0
28328, 0, 0
29060, 0, 0
29733, 0, 0
30465, 0, 0
31150, 0, 0
31881, 0, 0
32566, 0, 0
33297, 0, 0
33971, 0, 0
34702, 0, 0
35387, 0, 0
36119, 0, 0
36804, 0, 0
37535, 0, 0
38208, 0, 0
38940, 0, 0
39625, 0, 0
40356, 0, 0
41030, 0, 0
41761, 0, 0
42446, 0, 0
43178, 0, 0
43851, 0, 0
44594, 0, 0
45256, 0, 0
45929, 0, 0
46602, 0, 0
47276, 0, 0
47949, 0, 0
48623, 0, 0
49284, 0, 0
49935, 0, 0
50585, 0, 0
51270, 0, 0
51978, 0, 0
52686, 0, 0
53394, 0, 0
54114, 0, 0
54799, 0, 0
55507, 0, 0
56227, 0, 0
56912, 0, 0
57620, 0, 0
58329, 0, 0
59037, 0, 0
59757, 0, 0
60442, 0, 0
61161, 0, 0
61870, 0, 0
62555, 0, 0
63274, 0, 0
63971, 0, 0
64679, 0, 0
65376, 0, 0
66096, 0, 0
66804, 0, 0
67512, 0, 0
68174, 0, 0
68824, 0, 0
69474, 0, 0
70124, 0, 0
70774, 0, 0
71425, 0, 0
72075, 0, 0
72725, 0, 0
73375, 0, 0
74025, 0, 0
74675, 0, 0
75326, 0, 0
75976, 0, 0
76626, 0, 0
77276, 0, 0
77903, 0, 0
78530, 0, 0
79157, 0, 0
79888, 0, 0
80562, 0, 0
81293, 0, 0
81978, 0, 0
82709, 0, 0
83383, 0, 0
84126, 0, 0
84799, 0, 0
85531, 0, 0
86204, 0, 0
86936, 0, 0
87620, 0, 0
88352, 0, 0
89037, 0, 0
89768, 0, 0
90442, 0, 0
91069, 0, 0
91696, 0, 0
92323, 0, 0
92961, 0, 0
93634, 0, 0
94331, 0, 0
95016, 0, 0
95736, 0, 0
96456, 0, 0
97152, 0, 0
97872, 0, 0
98569, 0, 0
99277, 0, 0
99974, 0, 0
100670, 0, 0
101378, 0, 0
102098, 0, 0
102795, 0, 0
103515, 0, 0
104211, 0, 0
104919, 0, 0
105628, 0, 0
106336, 0, 0
107032, 0, 0
107741, 0, 0
108449, 0, 0
109169, 0, 0
109865, 0, 0
110539, 0, 0
111189, 0, 0
111816, 0, 0
112431, 0, 0
113035, 0, 0
113766, 0, 0
114451, 0, 0
115183, 0, 0
115856, 0, 0
116587, 0, 0
117272, 0, 0
118004, 0, 0
118689, 0, 0
119409, 0, 0
120094, 0, 0
120825, 0, 0
121510, 0, 0
122241, 0, 0
122915, 0, 0
123646, 0, 0
124331, 0, 0
125063, 0, 0
125736, 0, 0
126479, 0, 0
127152, 0, 0
127884, 0, 0
128557, 0, 0
129300, 0, 0
129974, 0, 0
130705, 0, 0
131390, 0, 0
132122, 0, 0
132795, 0, 0
133526, 0, 0
134211, 0, 0
134943, 0, 0
135628, 0, 0
136348, 0, 0
137033, 0, 0
137764, 0, 0
138449, 0, 0
139180, 0, 0
139854, 0, 0
140585, 0, 0
141270, 0, 0
142002, 0, 0
142687, 0, 0
143406, 0, 0
144091, 0, 0
144823, 0, 0
145508, 0, 0
146239, 0, 0
146913, 0, 0
147644, 0, 0
148329, 0, 0
149060, 0, 0
149745, 0, 0
150477, 0, 0
151150, 0, 0
151882, 0, 0
152567, 0, 0
153298, 0, 0
153972, 0, 0
154703, 0, 0
155388, 0, 0
156119, 0, 0
156804, 0, 0
157536, 0, 0
158209, 0, 0
158941, 0, 0
159637, 0, 0
160357, 0, 0
161042, 0, 0
161762, 0, 0
162458, 0, 0
163178, 0, 0
163863, 0, 0
164595, 0, 0
165268, 0, 0
165999, 0, 0
166684, 0, 0
167416, 0, 0
168054, 0, 0
168681, 0, 0
169297, 0, 0
169924, 0, 0
170562, 0, 0
171189, 0, 0
171816, 0, 0
172443, 0, 0
173070, 0, 0
173743, 0, 0
174393, 0, 0
175044, 0, 0
175694, 0, 0
176344, 0, 0
176971, 0, 0
177644, 0, 0
178352, 0, 0
179037, 0, 0
179746, 0, 0
180454, 0, 0
