BPM_CALMO: 86
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
81, 0, 0
801, 0, 0
1509, 0, 0
2206, 0, 0
2902, 0, 0
3599, 0, 0
4296, 0, 0
4992, 0, 0
5689, 0, 0
6385, 0, 0
7082, 0, 0
7779, 0, 0
8475, 0, 0
9172, 0, 0
9868, 0, 0
10565, 0, 0
11262, 0, 0
11958, 0, 0
12655, 0, 0
13351, 0, 0
14048, 0, 0
14745, 0, 0
15441, 0, 0
16138, 0, 0
16834, 0, 0
17531, 0, 0
18228, 0, 0
18924, 0, 0
19621, 0, 0
20317, 0, 0
21014, 0, 0
21699, 0, 0
22396, 0, 0
23092, 0, 0
23800, 0, 0
24485, 0, 0
25194, 0, 0
25879, 0, 0
26587, 0, 0
27283, 0, 0
27980, 0, 0
28677, 0, 0
29385, 0, 0
30070, 0, 0
30778, 0, 0
31463, 0, 0
32171, 0, 0
32856, 0, 0
33564, 0, 0
34261, 0, 0
34969, 0, 0
35654, 0, 0
36362, 0, 0
37047, 0, 0
37756, 0, 0
38441, 0, 0
39149, 0, 0
39845, 0, 0
40542, 0, 0
41227, 0, 0
41935, 0, 0
42632, 0, 0
43340, 0, 0
44025, 0, 0
44722, 0, 0
45430, 0, 0
46126, 0, 0
46823, 0, 0
47520, 0, 0
48216, 0, 0
48913, 0, 0
49609, 0, 0
50306, 0, 0
51003, 0, 0
51711, 0, 0
52396, 0, 0
53104, 0, 0
53789, 0, 0
54497, 0, 0
55182, 0, 0
55890, 0, 0
56587, 0, 0
57295, 0, 0
57980, 0, 0
58688, 0, 0
59373, 0, 0
60082, 0, 0
60767, 0, 0
61475, 0, 0
62160, 0, 0
62868, 0, 0
63553, 0, 0
64261, 0, 0
64958, 0, 0
65654, 0, 0
66351, 0, 0
67059, 0, 0
67756, 0, 0
68452, 0, 0
69149, 0, 0
69857, 0, 0
70554, 0, 0
71250, 0, 0
71947, 0, 0
72644, 0, 0
73340, 0, 0
74037, 0, 0
74733, 0, 0
75430, 0, 0
76127, 0, 0
76823, 0, 0
77520, 0, 0
78216, 0, 0
78913, 0, 0
79610, 0, 0
80306, 0, 0
81014, 0, 0
81711, 0, 0
82408, 0, 0
83104, 0, 0
83801, 0, 0
84497, 0, 0
85194, 0, 0
85891, 0, 0
86587, 0, 0
87284, 0, 0
87980, 0, 0
88677, 0, 0
89374, 0, 0
90070, 0, 0
90778, 0, 0
91463, 0, 0
92172, 0, 0
92857, 0, 0
93565, 0, 0
94261, 0, 0
94958, 0, 0
95655, 0, 0
96363, 0, 0
97048, 0, 0
97756, 0, 0
98441, 0, 0
99149, 0, 0
99834, 0, 0
100542, 0, 0
101239, 0, 0
101947, 0, 0
102632, 0, 0
103340, 0, 0
104025, 0, 0
104734, 0, 0
105419, 0, 0
106127, 0, 0
106812, 0, 0
107520, 0, 0
108205, 0, 0
108913, 0, 0
109610, 0, 0
110318, 0, 0
111003, 0, 0
111700, 0, 0
112396, 0, 0
113104, 0, 0
113789, 0, 0
114498, 0, 0
115183, 0, 0
115891, 0, 0
116576, 0, 0
117284, 0, 0
117981, 0, 0
118689, 0, 0
119374, 0, 0
120082, 0, 0
120767, 0, 0
121475, 0, 0
122160, 0, 0
122868, 0, 0
123565, 0, 0
124273, 0, 0
124958, 0, 0
125666, 0, 0
126351, 0, 0
127060, 0, 0
127745, 0, 0
128453, 0, 0
129138, 0, 0
129846, 0, 0
130531, 0, 0
131239, 0, 0
131936, 0, 0
132632, 0, 0
133329, 0, 0
