BPM_CALMO: 88
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
22047, 0, 0
22732, 0, 0
23417, 0, 0
24114, 0, 0
24787, 0, 0
25484, 0, 0
26180, 0, 0
26854, 0, 0
27550, 0, 0
28235, 0, 0
28920, 0, 0
29605, 0, 0
30290, 0, 0
30975, 0, 0
31672, 0, 0
32357, 0, 0
33042, 0, 0
33727, 0, 0
34412, 0, 0
35109, 0, 0
35782, 0, 0
36479, 0, 0
37175, 0, 0
37849, 0, 0
38534, 0, 0
39230, 0, 0
39915, 0, 0
40600, 0, 0
41285, 0, 0
41982, 0, 0
42667, 0, 0
43352, 0, 0
44037, 0, 0
44733, 0, 0
45418, 0, 0
46103, 0, 0
46777, 0, 0
47485, 0, 0
48170, 0, 0
48855, 0, 0
49540, 0, 0
50225, 0, 0
50921, 0, 0
51595, 0, 0
52280, 0, 0
52976, 0, 0
53673, 0, 0
54346, 0, 0
55043, 0, 0
55728, 0, 0
56413, 0, 0
57098, 0, 0
57783, 0, 0
58479, 0, 0
59164, 0, 0
59849, 0, 0
60534, 0, 0
61219, 0, 0
61916, 0, 0
62601, 0, 0
63274, 0, 0
63971, 0, 0
64668, 0, 0
65353, 0, 0
66038, 0, 0
66734, 0, 0
67431, 0, 0
68116, 0, 0
68801, 0, 0
69486, 0, 0
70171, 0, 0
70856, 0, 0
71541, 0, 0
72226, 0, 0
72911, 0, 0
73596, 0, 0
74281, 0, 0
74966, 0, 0
75651, 0, 0
76336, 0, 0
77032, 0, 0
77717, 0, 0
78402, 0, 0
79087, 0, 0
79772, 0, 0
80469, 0, 0
81165, 0, 0
81839, 0, 0
82535, 0, 0
83220, 0, 0
83905, 0, 0
84590, 0, 0
85275, 0, 0
85960, 0, 0
86657, 0, 0
87342, 0, 0
88027, 0, 0
88712, 0, 0
89397, 0, 0
90093, 0, 0
90767, 0, 0
91463, 0, 0
92148, 0, 0
92845, 0, 0
93530, 0, 0
94215, 0, 0
94900, 0, 0
95585, 0, 0
96270, 0, 0
96955, 0, 0
97652, 0, 0
98337, 0, 0
99021, 0, 0
99706, 0, 0
100403, 0, 0
101088, 0, 0
101761, 0, 0
102458, 0, 0
103155, 0, 0
103840, 0, 0
104525, 0, 0
105210, 0, 0
105906, 0, 0
106580, 0, 0
107265, 0, 0
107961, 0, 0
