BPM_CALMO: 86
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
22860, 0, 0
23557, 0, 0
24242, 0, 0
24938, 0, 0
25623, 0, 0
26320, 0, 0
27005, 0, 0
27690, 0, 0
28386, 0, 0
29071, 0, 0
29756, 0, 0
30453, 0, 0
31138, 0, 0
31835, 0, 0
32520, 0, 0
33205, 0, 0
33901, 0, 0
34598, 0, 0
35271, 0, 0
35968, 0, 0
36653, 0, 0
37349, 0, 0
38034, 0, 0
38731, 0, 0
39416, 0, 0
40112, 0, 0
40797, 0, 0
41482, 0, 0
42167, 0, 0
42864, 0, 0
43549, 0, 0
44246, 0, 0
44931, 0, 0
45627, 0, 0
46312, 0, 0
47009, 0, 0
47694, 0, 0
48390, 0, 0
49075, 0, 0
49760, 0, 0
50445, 0, 0
51142, 0, 0
51827, 0, 0
52524, 0, 0
53209, 0, 0
53905, 0, 0
54602, 0, 0
55275, 0, 0
55960, 0, 0
56657, 0, 0
57342, 0, 0
58038, 0, 0
58723, 0, 0
59420, 0, 0
60105, 0, 0
60790, 0, 0
61486, 0, 0
62171, 0, 0
62856, 0, 0
63553, 0, 0
64238, 0, 0
64935, 0, 0
65620, 0, 0
66305, 0, 0
67001, 0, 0
67698, 0, 0
68383, 0, 0
69068, 0, 0
69753, 0, 0
70449, 0, 0
71134, 0, 0
71831, 0, 0
72516, 0, 0
73213, 0, 0
73898, 0, 0
74594, 0, 0
75279, 0, 0
75976, 0, 0
76672, 0, 0
77346, 0, 0
78031, 0, 0
78727, 0, 0
79412, 0, 0
80109, 0, 0
80794, 0, 0
81490, 0, 0
82175, 0, 0
82860, 0, 0
83557, 0, 0
84242, 0, 0
84927, 0, 0
85624, 0, 0
86309, 0, 0
87005, 0, 0
87690, 0, 0
88375, 0, 0
89072, 0, 0
89768, 0, 0
90453, 0, 0
91150, 0, 0
91823, 0, 0
92520, 0, 0
93205, 0, 0
93901, 0, 0
94586, 0, 0
95283, 0, 0
95968, 0, 0
96665, 0, 0
97350, 0, 0
98035, 0, 0
98720, 0, 0
99416, 0, 0
100101, 0, 0
100798, 0, 0
101483, 0, 0
102179, 0, 0
102864, 0, 0
103561, 0, 0
104246, 0, 0
104931, 0, 0
105628, 0, 0
106313, 0, 0
106998, 0, 0
107694, 0, 0
108379, 0, 0
109076, 0, 0
109761, 0, 0
110446, 0, 0
111142, 0, 0
111839, 0, 0
112512, 0, 0
113209, 0, 0
113894, 0, 0
114590, 0, 0
115275, 0, 0
115972, 0, 0
116657, 0, 0
117354, 0, 0
118039, 0, 0
118735, 0, 0
119409, 0, 0
120117, 0, 0
120813, 0, 0
121487, 0, 0
122172, 0, 0
122868, 0, 0
123553, 0, 0
124250, 0, 0
124935, 0, 0
125632, 0, 0
126317, 0, 0
127002, 0, 0
127687, 0, 0
128383, 0, 0
129068, 0, 0
129765, 0, 0
130450, 0, 0
131146, 0, 0
131831, 0, 0
