BPM_CALMO: 89
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
81, 0, 0
673, 0, 0
1358, 0, 0
2032, 0, 0
2717, 0, 0
3390, 0, 0
4075, 0, 0
4748, 0, 0
5433, 0, 0
6118, 0, 0
6792, 0, 0
7465, 0, 0
8150, 0, 0
8824, 0, 0
9509, 0, 0
10182, 0, 0
10867, 0, 0
11552, 0, 0
12237, 0, 0
12910, 0, 0
13584, 0, 0
14269, 0, 0
14954, 0, 0
15627, 0, 0
16312, 0, 0
16985, 0, 0
17670, 0, 0
18332, 0, 0
19017, 0, 0
19702, 0, 0
20387, 0, 0
21060, 0, 0
21734, 0, 0
22430, 0, 0
23104, 0, 0
23789, 0, 0
24462, 0, 0
25147, 0, 0
25821, 0, 0
26506, 0, 0
27179, 0, 0
27864, 0, 0
28537, 0, 0
29222, 0, 0
29907, 0, 0
30581, 0, 0
31266, 0, 0
31939, 0, 0
32624, 0, 0
33297, 0, 0
33982, 0, 0
34656, 0, 0
35329, 0, 0
36014, 0, 0
36699, 0, 0
37373, 0, 0
38058, 0, 0
38731, 0, 0
39416, 0, 0
40089, 0, 0
40774, 0, 0
41459, 0, 0
42156, 0, 0
42783, 0, 0
43468, 0, 0
44176, 0, 0
44849, 0, 0
45534, 0, 0
46196, 0, 0
46893, 0, 0
47566, 0, 0
48251, 0, 0
48924, 0, 0
49609, 0, 0
50283, 0, 0
50968, 0, 0
51641, 0, 0
52326, 0, 0
53011, 0, 0
53685, 0, 0
54358, 0, 0
55043, 0, 0
55716, 0, 0
56401, 0, 0
57086, 0, 0
57760, 0, 0
58445, 0, 0
59118, 0, 0
59803, 0, 0
60476, 0, 0
61161, 0, 0
61835, 0, 0
62520, 0, 0
63193, 0, 0
63855, 0, 0
64551, 0, 0
65225, 0, 0
65910, 0, 0
66595, 0, 0
67280, 0, 0
67953, 0, 0
68638, 0, 0
69300, 0, 0
69997, 0, 0
70670, 0, 0
71355, 0, 0
72028, 0, 0
72713, 0, 0
73387, 0, 0
74072, 0, 0
74745, 0, 0
75430, 0, 0
76103, 0, 0
76788, 0, 0
77462, 0, 0
78147, 0, 0
78820, 0, 0
79505, 0, 0
80179, 0, 0
80863, 0, 0
81548, 0, 0
82222, 0, 0
82907, 0, 0
83580, 0, 0
84265, 0, 0
84950, 0, 0
85658, 0, 0
86297, 0, 0
86982, 0, 0
87655, 0, 0
88352, 0, 0
89025, 0, 0
89687, 0, 0
90349, 0, 0
91022, 0, 0
91672, 0, 0
92311, 0, 0
93031, 0, 0
93762, 0, 0
94424, 0, 0
95097, 0, 0
95794, 0, 0
96502, 0, 0
97187, 0, 0
97837, 0, 0
98545, 0, 0
99219, 0, 0
99892, 0, 0
100554, 0, 0
101227, 0, 0
101901, 0, 0
102551, 0, 0
103189, 0, 0
103921, 0, 0
104629, 0, 0
105291, 0, 0
105964, 0, 0
106661, 0, 0
107369, 0, 0
108031, 0, 0
108704, 0, 0
109412, 0, 0
110109, 0, 0
110782, 0, 0
111421, 0, 0
112141, 0, 0
112803, 0, 0
113476, 0, 0
114149, 0, 0
114858, 0, 0
115531, 0, 0
116216, 0, 0
116878, 0, 0
117574, 0, 0
118248, 0, 0
118898, 0, 0
119594, 0, 0
120291, 0, 0
120976, 0, 0
121649, 0, 0
122323, 0, 0
123008, 0, 0
123681, 0, 0
124354, 0, 0
125074, 0, 0
125724, 0, 0
126409, 0, 0
127083, 0, 0
127756, 0, 0
128441, 0, 0
129115, 0, 0
129788, 0, 0
130461, 0, 0
131146, 0, 0
131831, 0, 0
132505, 0, 0
133178, 0, 0
133851, 0, 0
134536, 0, 0
135221, 0, 0
135906, 0, 0
136580, 0, 0
137253, 0, 0
137938, 0, 0
138612, 0, 0
139297, 0, 0
139981, 0, 0
140655, 0, 0
141328, 0, 0
142013, 0, 0
142698, 0, 0
143372, 0, 0
144057, 0, 0
144742, 0, 0
145415, 0, 0
146088, 0, 0
146773, 0, 0
147458, 0, 0
148132, 0, 0
148817, 0, 0
