BPM_CALMO: 91
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
22047, 0, 0
22721, 0, 0
23394, 0, 0
24056, 0, 0
24718, 0, 0
25379, 0, 0
26053, 0, 0
26715, 0, 0
27388, 0, 0
28050, 0, 0
28723, 0, 0
29385, 0, 0
30058, 0, 0
30720, 0, 0
31382, 0, 0
32055, 0, 0
32717, 0, 0
33379, 0, 0
34052, 0, 0
34714, 0, 0
35387, 0, 0
36049, 0, 0
36722, 0, 0
37384, 0, 0
38058, 0, 0
38719, 0, 0
39393, 0, 0
40054, 0, 0
40728, 0, 0
41390, 0, 0
42051, 0, 0
42713, 0, 0
43386, 0, 0
44048, 0, 0
44722, 0, 0
45383, 0, 0
46057, 0, 0
46719, 0, 0
47380, 0, 0
48054, 0, 0
48715, 0, 0
49389, 0, 0
50062, 0, 0
50724, 0, 0
51386, 0, 0
52048, 0, 0
52721, 0, 0
53383, 0, 0
54056, 0, 0
54718, 0, 0
55391, 0, 0
56053, 0, 0
56726, 0, 0
57388, 0, 0
58050, 0, 0
58712, 0, 0
59385, 0, 0
60047, 0, 0
60720, 0, 0
61382, 0, 0
62055, 0, 0
62717, 0, 0
63390, 0, 0
64052, 0, 0
64726, 0, 0
65399, 0, 0
66061, 0, 0
66734, 0, 0
67408, 0, 0
68069, 0, 0
68731, 0, 0
69393, 0, 0
70055, 0, 0
70728, 0, 0
71401, 0, 0
72075, 0, 0
72748, 0, 0
73410, 0, 0
74072, 0, 0
74733, 0, 0
75395, 0, 0
76057, 0, 0
76719, 0, 0
77392, 0, 0
78065, 0, 0
78739, 0, 0
79401, 0, 0
80062, 0, 0
80724, 0, 0
81398, 0, 0
82071, 0, 0
82744, 0, 0
83406, 0, 0
84068, 0, 0
84730, 0, 0
85391, 0, 0
86053, 0, 0
86715, 0, 0
87388, 0, 0
88050, 0, 0
88723, 0, 0
89385, 0, 0
90047, 0, 0
90720, 0, 0
91382, 0, 0
92056, 0, 0
92729, 0, 0
93391, 0, 0
94052, 0, 0
94714, 0, 0
95388, 0, 0
96049, 0, 0
96723, 0, 0
97384, 0, 0
98058, 0, 0
98720, 0, 0
99393, 0, 0
100055, 0, 0
100717, 0, 0
101378, 0, 0
102052, 0, 0
102713, 0, 0
103387, 0, 0
104049, 0, 0
104722, 0, 0
105384, 0, 0
106057, 0, 0
106719, 0, 0
107381, 0, 0
108054, 0, 0
108727, 0, 0
109389, 0, 0
110051, 0, 0
110713, 0, 0
111386, 0, 0
112048, 0, 0
112721, 0, 0
113383, 0, 0
114056, 0, 0
114718, 0, 0
115392, 0, 0
116053, 0, 0
116715, 0, 0
117388, 0, 0
118050, 0, 0
118712, 0, 0
119385, 0, 0
120047, 0, 0
120721, 0, 0
121382, 0, 0
122056, 0, 0
122717, 0, 0
123379, 0, 0
124053, 0, 0
124726, 0, 0
125388, 0, 0
126050, 0, 0
126723, 0, 0
127385, 0, 0
128046, 0, 0
