BPM_CALMO: 91
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
8719, 0, 0
9392, 0, 0
10054, 0, 0
10751, 0, 0
11366, 0, 0
11981, 0, 0
12620, 0, 0
13386, 0, 0
14060, 0, 0
14721, 0, 0
15395, 0, 0
16045, 0, 0
16718, 0, 0
17392, 0, 0
18054, 0, 0
18727, 0, 0
19389, 0, 0
20062, 0, 0
20724, 0, 0
21386, 0, 0
22059, 0, 0
22721, 0, 0
23394, 0, 0
24056, 0, 0
24718, 0, 0
25391, 0, 0
26053, 0, 0
26715, 0, 0
27388, 0, 0
28061, 0, 0
28723, 0, 0
29385, 0, 0
30058, 0, 0
30720, 0, 0
31393, 0, 0
32055, 0, 0
32717, 0, 0
33390, 0, 0
34052, 0, 0
34725, 0, 0
35399, 0, 0
36061, 0, 0
36722, 0, 0
37396, 0, 0
38058, 0, 0
38719, 0, 0
39393, 0, 0
40054, 0, 0
40716, 0, 0
41378, 0, 0
42051, 0, 0
42725, 0, 0
43398, 0, 0
44060, 0, 0
44780, 0, 0
45395, 0, 0
46057, 0, 0
46719, 0, 0
47392, 0, 0
48054, 0, 0
48727, 0, 0
49389, 0, 0
50062, 0, 0
50724, 0, 0
51386, 0, 0
52059, 0, 0
52721, 0, 0
53383, 0, 0
54056, 0, 0
54718, 0, 0
55391, 0, 0
56053, 0, 0
56726, 0, 0
57388, 0, 0
58061, 0, 0
58723, 0, 0
59385, 0, 0
60047, 0, 0
60720, 0, 0
61382, 0, 0
62055, 0, 0
62729, 0, 0
63390, 0, 0
64052, 0, 0
64726, 0, 0
65387, 0, 0
66061, 0, 0
66723, 0, 0
67384, 0, 0
68058, 0, 0
68719, 0, 0
69393, 0, 0
70055, 0, 0
70705, 0, 0
71378, 0, 0
72052, 0, 0
72725, 0, 0
73387, 0, 0
74060, 0, 0
74722, 0, 0
75384, 0, 0
76057, 0, 0
76719, 0, 0
77392, 0, 0
78054, 0, 0
78716, 0, 0
79389, 0, 0
80062, 0, 0
80724, 0, 0
