BPM_CALMO: 89
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
743, 0, 0
1382, 0, 0
2020, 0, 0
2670, 0, 0
3309, 0, 0
4017, 0, 0
4714, 0, 0
5410, 0, 0
6002, 0, 0
6745, 0, 0
7372, 0, 0
7999, 0, 0
8615, 0, 0
9230, 0, 0
9903, 0, 0
10577, 0, 0
11262, 0, 0
11947, 0, 0
12643, 0, 0
13293, 0, 0
13944, 0, 0
14547, 0, 0
15151, 0, 0
15790, 0, 0
16486, 0, 0
17160, 0, 0
17833, 0, 0
18495, 0, 0
19156, 0, 0
19830, 0, 0
20538, 0, 0
21989, 0, 0
22721, 0, 0
23441, 0, 0
24091, 0, 0
24787, 0, 0
25461, 0, 0
26111, 0, 0
26726, 0, 0
27458, 0, 0
28119, 0, 0
28781, 0, 0
29420, 0, 0
30128, 0, 0
30790, 0, 0
31440, 0, 0
32090, 0, 0
32798, 0, 0
33390, 0, 0
34110, 0, 0
34760, 0, 0
35468, 0, 0
36107, 0, 0
36780, 0, 0
37442, 0, 0
38127, 0, 0
38777, 0, 0
39439, 0, 0
40089, 0, 0
40797, 0, 0
41459, 0, 0
42109, 0, 0
42760, 0, 0
43468, 0, 0
44118, 0, 0
44780, 0, 0
45441, 0, 0
46103, 0, 0
46765, 0, 0
47415, 0, 0
48065, 0, 0
48785, 0, 0
49493, 0, 0
50190, 0, 0
50887, 0, 0
51572, 0, 0
52257, 0, 0
52953, 0, 0
53638, 0, 0
54323, 0, 0
55008, 0, 0
55693, 0, 0
56378, 0, 0
57063, 0, 0
57748, 0, 0
58445, 0, 0
59130, 0, 0
59803, 0, 0
60476, 0, 0
61150, 0, 0
61823, 0, 0
62497, 0, 0
63205, 0, 0
63948, 0, 0
64679, 0, 0
65387, 0, 0
66061, 0, 0
66734, 0, 0
67408, 0, 0
68093, 0, 0
68766, 0, 0
69439, 0, 0
70101, 0, 0
70751, 0, 0
71436, 0, 0
72110, 0, 0
72783, 0, 0
73456, 0, 0
74130, 0, 0
74803, 0, 0
75476, 0, 0
76138, 0, 0
76800, 0, 0
77462, 0, 0
78112, 0, 0
78774, 0, 0
79447, 0, 0
80120, 0, 0
80794, 0, 0
81467, 0, 0
82117, 0, 0
82791, 0, 0
83464, 0, 0
84126, 0, 0
84788, 0, 0
85449, 0, 0
86111, 0, 0
86773, 0, 0
87446, 0, 0
88097, 0, 0
88770, 0, 0
89432, 0, 0
90117, 0, 0
90778, 0, 0
91440, 0, 0
92114, 0, 0
92775, 0, 0
93425, 0, 0
94110, 0, 0
94772, 0, 0
95446, 0, 0
96107, 0, 0
96769, 0, 0
97443, 0, 0
98116, 0, 0
98766, 0, 0
99439, 0, 0
100101, 0, 0
100775, 0, 0
101436, 0, 0
102110, 0, 0
102772, 0, 0
103445, 0, 0
104107, 0, 0
104768, 0, 0
105442, 0, 0
106115, 0, 0
106765, 0, 0
107439, 0, 0
108112, 0, 0
108774, 0, 0
109424, 0, 0
110109, 0, 0
110771, 0, 0
111444, 0, 0
112094, 0, 0
112768, 0, 0
113441, 0, 0
114114, 0, 0
114765, 0, 0
115438, 0, 0
116111, 0, 0
116785, 0, 0
117447, 0, 0
118108, 0, 0
118782, 0, 0
119443, 0, 0
120094, 0, 0
120767, 0, 0
121440, 0, 0
122114, 0, 0
122776, 0, 0
123449, 0, 0
124111, 0, 0
124784, 0, 0
125423, 0, 0
126108, 0, 0
126769, 0, 0
127443, 0, 0
128093, 0, 0
128778, 0, 0
