BPM_CALMO: 89
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
104, 0, 0
778, 0, 0
1451, 0, 0
2113, 0, 0
2775, 0, 0
3448, 0, 0
4122, 0, 0
4795, 0, 0
5445, 0, 0
6118, 0, 0
6792, 0, 0
7454, 0, 0
8104, 0, 0
8777, 0, 0
9439, 0, 0
10112, 0, 0
10774, 0, 0
11447, 0, 0
12109, 0, 0
12783, 0, 0
13444, 0, 0
14118, 0, 0
14791, 0, 0
15453, 0, 0
16103, 0, 0
16765, 0, 0
17415, 0, 0
18065, 0, 0
18715, 0, 0
19365, 0, 0
20016, 0, 0
20666, 0, 0
21432, 0, 0
22094, 0, 0
22767, 0, 0
23429, 0, 0
24102, 0, 0
24764, 0, 0
25426, 0, 0
26099, 0, 0
26761, 0, 0
27423, 0, 0
28096, 0, 0
28758, 0, 0
29431, 0, 0
30093, 0, 0
30766, 0, 0
31428, 0, 0
32090, 0, 0
32763, 0, 0
33425, 0, 0
34099, 0, 0
34772, 0, 0
35422, 0, 0
36095, 0, 0
36757, 0, 0
37431, 0, 0
38092, 0, 0
38766, 0, 0
39427, 0, 0
40101, 0, 0
40763, 0, 0
41424, 0, 0
42098, 0, 0
42760, 0, 0
43433, 0, 0
44095, 0, 0
44756, 0, 0
45430, 0, 0
46092, 0, 0
46765, 0, 0
47427, 0, 0
48100, 0, 0
48762, 0, 0
49435, 0, 0
50097, 0, 0
50770, 0, 0
51432, 0, 0
52094, 0, 0
52767, 0, 0
53429, 0, 0
54102, 0, 0
54764, 0, 0
55426, 0, 0
56099, 0, 0
56761, 0, 0
57435, 0, 0
58096, 0, 0
58770, 0, 0
59431, 0, 0
60093, 0, 0
60767, 0, 0
61428, 0, 0
62090, 0, 0
62764, 0, 0
63425, 0, 0
64099, 0, 0
64760, 0, 0
65434, 0, 0
66096, 0, 0
66769, 0, 0
67431, 0, 0
68104, 0, 0
68766, 0, 0
69428, 0, 0
70101, 0, 0
70763, 0, 0
71436, 0, 0
72098, 0, 0
72760, 0, 0
73433, 0, 0
74095, 0, 0
74768, 0, 0
75430, 0, 0
76092, 0, 0
76765, 0, 0
77427, 0, 0
78089, 0, 0
78762, 0, 0
79424, 0, 0
80097, 0, 0
80759, 0, 0
81432, 0, 0
82094, 0, 0
82756, 0, 0
83429, 0, 0
84103, 0, 0
84764, 0, 0
85426, 0, 0
86100, 0, 0
86761, 0, 0
87435, 0, 0
88097, 0, 0
88758, 0, 0
89432, 0, 0
90093, 0, 0
90767, 0, 0
91429, 0, 0
92102, 0, 0
92764, 0, 0
93425, 0, 0
94099, 0, 0
94772, 0, 0
95434, 0, 0
96096, 0, 0
96758, 0, 0
97431, 0, 0
98104, 0, 0
98766, 0, 0
99428, 0, 0
100101, 0, 0
100763, 0, 0
101425, 0, 0
102098, 0, 0
102772, 0, 0
103433, 0, 0
104095, 0, 0
104768, 0, 0
105442, 0, 0
106115, 0, 0
106765, 0, 0
107427, 0, 0
108100, 0, 0
108762, 0, 0
109424, 0, 0
110097, 0, 0
110771, 0, 0
111433, 0, 0
112094, 0, 0
112756, 0, 0
113429, 0, 0
114091, 0, 0
114753, 0, 0
115438, 0, 0
116100, 0, 0
116762, 0, 0
117423, 0, 0
118097, 0, 0
118770, 0, 0
119432, 0, 0
120094, 0, 0
120767, 0, 0
121429, 0, 0
122091, 0, 0
