BPM_CALMO: 89
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
836, 0, 0
1509, 0, 0
2159, 0, 0
2844, 0, 0
3495, 0, 0
4180, 0, 0
4830, 0, 0
5503, 0, 0
6165, 0, 0
6850, 0, 0
7488, 0, 0
8173, 0, 0
8835, 0, 0
9509, 0, 0
10170, 0, 0
10832, 0, 0
11494, 0, 0
12167, 0, 0
12829, 0, 0
13502, 0, 0
14164, 0, 0
14849, 0, 0
15499, 0, 0
16173, 0, 0
16834, 0, 0
17519, 0, 0
18158, 0, 0
18843, 0, 0
19493, 0, 0
20167, 0, 0
20828, 0, 0
21502, 0, 0
22163, 0, 0
22837, 0, 0
23499, 0, 0
24172, 0, 0
24834, 0, 0
25507, 0, 0
26157, 0, 0
26842, 0, 0
27504, 0, 0
28177, 0, 0
28828, 0, 0
29513, 0, 0
30163, 0, 0
30848, 0, 0
31498, 0, 0
32160, 0, 0
32833, 0, 0
33495, 0, 0
34168, 0, 0
34865, 0, 0
35503, 0, 0
36165, 0, 0
36827, 0, 0
37500, 0, 0
38174, 0, 0
38859, 0, 0
39497, 0, 0
40171, 0, 0
40832, 0, 0
41529, 0, 0
42167, 0, 0
42829, 0, 0
43503, 0, 0
44176, 0, 0
44826, 0, 0
45511, 0, 0
46161, 0, 0
46846, 0, 0
47496, 0, 0
48170, 0, 0
48832, 0, 0
49517, 0, 0
50167, 0, 0
50852, 0, 0
51502, 0, 0
52175, 0, 0
52837, 0, 0
53499, 0, 0
54161, 0, 0
54834, 0, 0
55496, 0, 0
56181, 0, 0
56831, 0, 0
57493, 0, 0
58166, 0, 0
58839, 0, 0
59501, 0, 0
60175, 0, 0
60825, 0, 0
61510, 0, 0
62160, 0, 0
62845, 0, 0
63495, 0, 0
64168, 0, 0
64830, 0, 0
65503, 0, 0
66165, 0, 0
66839, 0, 0
67500, 0, 0
68174, 0, 0
68824, 0, 0
69497, 0, 0
70171, 0, 0
70844, 0, 0
71494, 0, 0
72168, 0, 0
72829, 0, 0
73514, 0, 0
74165, 0, 0
74838, 0, 0
75500, 0, 0
76173, 0, 0
76823, 0, 0
77508, 0, 0
78158, 0, 0
78843, 0, 0
79494, 0, 0
80167, 0, 0
80840, 0, 0
81514, 0, 0
82164, 0, 0
82837, 0, 0
83499, 0, 0
84172, 0, 0
84834, 0, 0
85496, 0, 0
86169, 0, 0
86843, 0, 0
87493, 0, 0
88178, 0, 0
88828, 0, 0
89513, 0, 0
90163, 0, 0
90836, 0, 0
91498, 0, 0
92183, 0, 0
92822, 0, 0
93507, 0, 0
94169, 0, 0
94830, 0, 0
95504, 0, 0
96165, 0, 0
96827, 0, 0
97512, 0, 0
98162, 0, 0
98847, 0, 0
99498, 0, 0
100171, 0, 0
100833, 0, 0
101506, 0, 0
102168, 0, 0
102841, 0, 0
103491, 0, 0
104176, 0, 0
104826, 0, 0
105511, 0, 0
106162, 0, 0
106823, 0, 0
107497, 0, 0
108159, 0, 0
108832, 0, 0
109505, 0, 0
110167, 0, 0
110829, 0, 0
111502, 0, 0
112164, 0, 0
112837, 0, 0
113522, 0, 0
114161, 0, 0
114834, 0, 0
115496, 0, 0
116204, 0, 0
116843, 0, 0
117505, 0, 0
118166, 0, 0
118840, 0, 0
119490, 0, 0
120175, 0, 0
120837, 0, 0
121510, 0, 0
122160, 0, 0
122834, 0, 0
123507, 0, 0
124180, 0, 0
124830, 0, 0
125515, 0, 0
126166, 0, 0
126851, 0, 0
127501, 0, 0
128174, 0, 0
128836, 0, 0
129498, 0, 0
130159, 0, 0
130844, 0, 0
131495, 0, 0
132168, 0, 0
132830, 0, 0
133503, 0, 0
134165, 0, 0
134827, 0, 0
135500, 0, 0
136173, 0, 0
136835, 0, 0
137497, 0, 0
138170, 0, 0
138832, 0, 0
139494, 0, 0
140179, 0, 0
140829, 0, 0
141502, 0, 0
142164, 0, 0
142838, 0, 0
143499, 0, 0
144173, 0, 0
144834, 0, 0
145508, 0, 0
146158, 0, 0
146831, 0, 0
147493, 0, 0
148178, 0, 0
148828, 0, 0
149502, 0, 0
150163, 0, 0
150837, 0, 0
151499, 0, 0
152172, 0, 0
152834, 0, 0
153507, 0, 0
154157, 0, 0
154842, 0, 0
155504, 0, 0
156177, 0, 0
156828, 0, 0
157513, 0, 0
158163, 0, 0
158848, 0, 0
159498, 0, 0
