BPM_CALMO: 91
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
232, 0, 0
894, 0, 0
1556, 0, 0
2218, 0, 0
2879, 0, 0
3541, 0, 0
4203, 0, 0
4865, 0, 0
5526, 0, 0
6188, 0, 0
6838, 0, 0
7500, 0, 0
8150, 0, 0
8812, 0, 0
9474, 0, 0
10136, 0, 0
10786, 0, 0
11447, 0, 0
12109, 0, 0
12771, 0, 0
13433, 0, 0
14095, 0, 0
14745, 0, 0
15406, 0, 0
16068, 0, 0
16730, 0, 0
17380, 0, 0
18042, 0, 0
18704, 0, 0
19365, 0, 0
20027, 0, 0
20689, 0, 0
21339, 0, 0
22001, 0, 0
22663, 0, 0
23324, 0, 0
23975, 0, 0
24636, 0, 0
25298, 0, 0
25960, 0, 0
26622, 0, 0
27272, 0, 0
27934, 0, 0
28595, 0, 0
29257, 0, 0
29919, 0, 0
30569, 0, 0
31231, 0, 0
31893, 0, 0
32554, 0, 0
33216, 0, 0
33866, 0, 0
34528, 0, 0
35190, 0, 0
35840, 0, 0
36502, 0, 0
37164, 0, 0
37825, 0, 0
38475, 0, 0
39149, 0, 0
39799, 0, 0
40461, 0, 0
41123, 0, 0
41784, 0, 0
42434, 0, 0
43096, 0, 0
43758, 0, 0
44420, 0, 0
45082, 0, 0
45732, 0, 0
46393, 0, 0
47055, 0, 0
47717, 0, 0
48379, 0, 0
49029, 0, 0
49691, 0, 0
50352, 0, 0
51014, 0, 0
51664, 0, 0
52326, 0, 0
52988, 0, 0
53650, 0, 0
54311, 0, 0
54973, 0, 0
55623, 0, 0
56285, 0, 0
56935, 0, 0
57609, 0, 0
58259, 0, 0
58921, 0, 0
59582, 0, 0
60244, 0, 0
60906, 0, 0
61568, 0, 0
62218, 0, 0
62880, 0, 0
63541, 0, 0
64203, 0, 0
64853, 0, 0
65515, 0, 0
66177, 0, 0
66839, 0, 0
67489, 0, 0
68151, 0, 0
68812, 0, 0
69474, 0, 0
70136, 0, 0
70798, 0, 0
71448, 0, 0
72110, 0, 0
72771, 0, 0
73433, 0, 0
74083, 0, 0
74745, 0, 0
75407, 0, 0
76069, 0, 0
76719, 0, 0
77380, 0, 0
78042, 0, 0
78704, 0, 0
79366, 0, 0
80028, 0, 0
80678, 0, 0
81340, 0, 0
82001, 0, 0
82663, 0, 0
83313, 0, 0
83975, 0, 0
84637, 0, 0
85299, 0, 0
85960, 0, 0
86610, 0, 0
87272, 0, 0
87934, 0, 0
88596, 0, 0
89258, 0, 0
89908, 0, 0
90581, 0, 0
91231, 0, 0
91893, 0, 0
92555, 0, 0
93205, 0, 0
93867, 0, 0
94528, 0, 0
95190, 0, 0
95840, 0, 0
96502, 0, 0
97164, 0, 0
97826, 0, 0
98487, 0, 0
99138, 0, 0
99799, 0, 0
100461, 0, 0
101123, 0, 0
101785, 0, 0
102435, 0, 0
103097, 0, 0
103758, 0, 0
104420, 0, 0
105070, 0, 0
105732, 0, 0
106394, 0, 0
107056, 0, 0
107717, 0, 0
108368, 0, 0
109029, 0, 0
109691, 0, 0
110353, 0, 0
111015, 0, 0
111676, 0, 0
112327, 0, 0
112988, 0, 0
113650, 0, 0
114300, 0, 0
114962, 0, 0
115624, 0, 0
116286, 0, 0
116947, 0, 0
117609, 0, 0
118271, 0, 0
118921, 0, 0
119583, 0, 0
120233, 0, 0
120906, 0, 0
121556, 0, 0
122218, 0, 0
122868, 0, 0
123542, 0, 0
124192, 0, 0
124854, 0, 0
125515, 0, 0
126177, 0, 0
126827, 0, 0
127489, 0, 0
128151, 0, 0
128813, 0, 0
129474, 0, 0
130136, 0, 0
130786, 0, 0
131448, 0, 0
132110, 0, 0
132772, 0, 0
133422, 0, 0
134084, 0, 0
134745, 0, 0
135407, 0, 0
136069, 0, 0
136719, 0, 0
137381, 0, 0
138043, 0, 0
138704, 0, 0
139366, 0, 0
140016, 0, 0
140678, 0, 0
141340, 0, 0
142002, 0, 0
142663, 0, 0
143325, 0, 0
143975, 0, 0
144637, 0, 0
145299, 0, 0
145949, 0, 0
146611, 0, 0
147273, 0, 0
147923, 0, 0
148584, 0, 0
149246, 0, 0
149908, 0, 0
150570, 0, 0
151232, 0, 0
151882, 0, 0
152543, 0, 0
153205, 0, 0
153867, 0, 0
154517, 0, 0
155179, 0, 0
155841, 0, 0
156502, 0, 0
157164, 0, 0
157814, 0, 0
158476, 0, 0
159138, 0, 0
159800, 0, 0
160461, 0, 0
161123, 0, 0
161785, 0, 0
162435, 0, 0
163097, 0, 0
163759, 0, 0
164420, 0, 0
165071, 0, 0
165732, 0, 0
166394, 0, 0
167056, 0, 0
167706, 0, 0
168368, 0, 0
169030, 0, 0
169691, 0, 0
170353, 0, 0
171003, 0, 0
171665, 0, 0
172327, 0, 0
172989, 0, 0
173650, 0, 0
174301, 0, 0
174962, 0, 0
175624, 0, 0
176286, 0, 0
176948, 0, 0
177598, 0, 0
