BPM_CALMO: 91
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
10635, 0, 0
11297, 0, 0
11958, 0, 0
12620, 0, 0
13270, 0, 0
13932, 0, 0
14594, 0, 0
15256, 0, 0
15906, 0, 0
16567, 0, 0
17229, 0, 0
17891, 0, 0
18553, 0, 0
19215, 0, 0
19865, 0, 0
20526, 0, 0
21177, 0, 0
21838, 0, 0
22500, 0, 0
23162, 0, 0
23824, 0, 0
24485, 0, 0
25136, 0, 0
25797, 0, 0
26459, 0, 0
27121, 0, 0
27771, 0, 0
28444, 0, 0
29095, 0, 0
29756, 0, 0
30418, 0, 0
31080, 0, 0
31730, 0, 0
32392, 0, 0
33054, 0, 0
33715, 0, 0
34366, 0, 0
35027, 0, 0
35689, 0, 0
36351, 0, 0
37013, 0, 0
37674, 0, 0
38325, 0, 0
38986, 0, 0
39648, 0, 0
40310, 0, 0
40960, 0, 0
41622, 0, 0
42284, 0, 0
42945, 0, 0
43595, 0, 0
44257, 0, 0
44919, 0, 0
45581, 0, 0
46243, 0, 0
46904, 0, 0
47554, 0, 0
48216, 0, 0
48878, 0, 0
49540, 0, 0
50190, 0, 0
50852, 0, 0
51513, 0, 0
52175, 0, 0
52825, 0, 0
53487, 0, 0
54149, 0, 0
54811, 0, 0
55472, 0, 0
56134, 0, 0
56784, 0, 0
57446, 0, 0
58108, 0, 0
58770, 0, 0
59420, 0, 0
60093, 0, 0
60743, 0, 0
61405, 0, 0
62067, 0, 0
62729, 0, 0
63390, 0, 0
64052, 0, 0
64702, 0, 0
65364, 0, 0
66014, 0, 0
66676, 0, 0
67338, 0, 0
68000, 0, 0
68650, 0, 0
69312, 0, 0
69973, 0, 0
70635, 0, 0
71297, 0, 0
71959, 0, 0
72609, 0, 0
73271, 0, 0
73932, 0, 0
74594, 0, 0
75256, 0, 0
75906, 0, 0
76568, 0, 0
77230, 0, 0
77891, 0, 0
78553, 0, 0
79203, 0, 0
79865, 0, 0
80527, 0, 0
81189, 0, 0
81839, 0, 0
82500, 0, 0
83162, 0, 0
83824, 0, 0
84474, 0, 0
85148, 0, 0
85798, 0, 0
86460, 0, 0
87121, 0, 0
87783, 0, 0
88433, 0, 0
89095, 0, 0
89757, 0, 0
90419, 0, 0
91069, 0, 0
91742, 0, 0
92392, 0, 0
93054, 0, 0
93716, 0, 0
94378, 0, 0
95028, 0, 0
95689, 0, 0
96351, 0, 0
97013, 0, 0
97663, 0, 0
98325, 0, 0
98987, 0, 0
99648, 0, 0
100299, 0, 0
100960, 0, 0
101622, 0, 0
102284, 0, 0
102946, 0, 0
103596, 0, 0
104258, 0, 0
104919, 0, 0
