BPM_CALMO: 92
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
11122, 0, 0
11784, 0, 0
12434, 0, 0
13084, 0, 0
13735, 0, 0
14385, 0, 0
15035, 0, 0
15697, 0, 0
16347, 0, 0
16997, 0, 0
17647, 0, 0
18297, 0, 0
18947, 0, 0
19609, 0, 0
20259, 0, 0
20910, 0, 0
21560, 0, 0
22210, 0, 0
22860, 0, 0
23522, 0, 0
24172, 0, 0
24822, 0, 0
25472, 0, 0
26122, 0, 0
26773, 0, 0
27434, 0, 0
28085, 0, 0
28735, 0, 0
29385, 0, 0
30035, 0, 0
30685, 0, 0
31347, 0, 0
31997, 0, 0
32647, 0, 0
33297, 0, 0
33948, 0, 0
34598, 0, 0
35260, 0, 0
35910, 0, 0
36560, 0, 0
37210, 0, 0
37872, 0, 0
38510, 0, 0
39172, 0, 0
39822, 0, 0
41784, 0, 0
42434, 0, 0
43085, 0, 0
43735, 0, 0
44385, 0, 0
45035, 0, 0
45697, 0, 0
46347, 0, 0
46997, 0, 0
47647, 0, 0
48309, 0, 0
48948, 0, 0
49609, 0, 0
50260, 0, 0
50910, 0, 0
51560, 0, 0
52210, 0, 0
52860, 0, 0
53522, 0, 0
54172, 0, 0
54822, 0, 0
55472, 0, 0
56134, 0, 0
56773, 0, 0
57435, 0, 0
58085, 0, 0
58735, 0, 0
59385, 0, 0
60035, 0, 0
60685, 0, 0
61347, 0, 0
61997, 0, 0
62647, 0, 0
63298, 0, 0
63959, 0, 0
64598, 0, 0
65260, 0, 0
65910, 0, 0
66560, 0, 0
67210, 0, 0
67860, 0, 0
68522, 0, 0
69172, 0, 0
69822, 0, 0
70484, 0, 0
71123, 0, 0
71773, 0, 0
72435, 0, 0
73085, 0, 0
73735, 0, 0
74397, 0, 0
75035, 0, 0
75697, 0, 0
76347, 0, 0
76997, 0, 0
77648, 0, 0
78298, 0, 0
78948, 0, 0
79610, 0, 0
80260, 0, 0
80910, 0, 0
81560, 0, 0
82222, 0, 0
82872, 0, 0
83522, 0, 0
84172, 0, 0
84822, 0, 0
85461, 0, 0
86123, 0, 0
86773, 0, 0
87435, 0, 0
88085, 0, 0
88735, 0, 0
89385, 0, 0
90047, 0, 0
90686, 0, 0
91347, 0, 0
91997, 0, 0
92648, 0, 0
93298, 0, 0
93948, 0, 0
94598, 0, 0
95260, 0, 0
95910, 0, 0
96560, 0, 0
97210, 0, 0
97872, 0, 0
98522, 0, 0
99172, 0, 0
99823, 0, 0
100473, 0, 0
101123, 0, 0
101773, 0, 0
102423, 0, 0
104385, 0, 0
105035, 0, 0
105697, 0, 0
106336, 0, 0
106998, 0, 0
107648, 0, 0
108298, 0, 0
108948, 0, 0
109610, 0, 0
110260, 0, 0
110910, 0, 0
111560, 0, 0
112210, 0, 0
112861, 0, 0
113522, 0, 0
114173, 0, 0
114823, 0, 0
115473, 0, 0
116135, 0, 0
116773, 0, 0
117435, 0, 0
118085, 0, 0
118735, 0, 0
119385, 0, 0
120036, 0, 0
120686, 0, 0
121347, 0, 0
121998, 0, 0
122648, 0, 0
123298, 0, 0
123948, 0, 0
124610, 0, 0
125272, 0, 0
125910, 0, 0
126560, 0, 0
127199, 0, 0
127861, 0, 0
128522, 0, 0
129173, 0, 0
129823, 0, 0
130473, 0, 0
131123, 0, 0
131773, 0, 0
132423, 0, 0
