BPM_CALMO: 96
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
10298, 0, 0
10937, 0, 0
11564, 0, 0
12202, 0, 0
12829, 0, 0
13468, 0, 0
14095, 0, 0
14721, 0, 0
15360, 0, 0
15987, 0, 0
16614, 0, 0
17252, 0, 0
17879, 0, 0
18518, 0, 0
19156, 0, 0
19772, 0, 0
20410, 0, 0
21037, 0, 0
21676, 0, 0
22303, 0, 0
22941, 0, 0
23568, 0, 0
24195, 0, 0
24834, 0, 0
25461, 0, 0
26099, 0, 0
26726, 0, 0
27353, 0, 0
27992, 0, 0
28619, 0, 0
29246, 0, 0
29884, 0, 0
30511, 0, 0
31150, 0, 0
31777, 0, 0
32415, 0, 0
33042, 0, 0
33669, 0, 0
34307, 0, 0
34934, 0, 0
35561, 0, 0
36200, 0, 0
36827, 0, 0
37465, 0, 0
38092, 0, 0
38719, 0, 0
39358, 0, 0
39985, 0, 0
40623, 0, 0
41250, 0, 0
41877, 0, 0
42516, 0, 0
43143, 0, 0
43781, 0, 0
44408, 0, 0
45047, 0, 0
45674, 0, 0
46301, 0, 0
46928, 0, 0
47566, 0, 0
48205, 0, 0
48832, 0, 0
49459, 0, 0
50097, 0, 0
50724, 0, 0
51363, 0, 0
51989, 0, 0
52616, 0, 0
53255, 0, 0
53882, 0, 0
54509, 0, 0
55147, 0, 0
55774, 0, 0
56413, 0, 0
57040, 0, 0
57678, 0, 0
58317, 0, 0
58944, 0, 0
59582, 0, 0
60209, 0, 0
60836, 0, 0
61463, 0, 0
62090, 0, 0
62729, 0, 0
63356, 0, 0
63994, 0, 0
64621, 0, 0
65248, 0, 0
65887, 0, 0
66514, 0, 0
67140, 0, 0
67779, 0, 0
68406, 0, 0
69045, 0, 0
69671, 0, 0
70310, 0, 0
70937, 0, 0
71564, 0, 0
72202, 0, 0
72829, 0, 0
73456, 0, 0
74095, 0, 0
74722, 0, 0
75360, 0, 0
75987, 0, 0
76626, 0, 0
77253, 0, 0
77880, 0, 0
78507, 0, 0
79145, 0, 0
79784, 0, 0
80411, 0, 0
81038, 0, 0
81676, 0, 0
82303, 0, 0
82942, 0, 0
83569, 0, 0
84196, 0, 0
84822, 0, 0
85461, 0, 0
86088, 0, 0
86727, 0, 0
87353, 0, 0
87992, 0, 0
88619, 0, 0
89258, 0, 0
89884, 0, 0
90511, 0, 0
91150, 0, 0
91777, 0, 0
92404, 0, 0
93042, 0, 0
93669, 0, 0
94308, 0, 0
94935, 0, 0
95573, 0, 0
96200, 0, 0
96827, 0, 0
97466, 0, 0
98093, 0, 0
98731, 0, 0
99358, 0, 0
99985, 0, 0
100624, 0, 0
101251, 0, 0
101889, 0, 0
102516, 0, 0
103143, 0, 0
103782, 0, 0
104409, 0, 0
105035, 0, 0
105674, 0, 0
106301, 0, 0
106940, 0, 0
107566, 0, 0
108205, 0, 0
108832, 0, 0
109459, 0, 0
110097, 0, 0
110724, 0, 0
111363, 0, 0
111990, 0, 0
112617, 0, 0
113255, 0, 0
113882, 0, 0
114521, 0, 0
115148, 0, 0
115775, 0, 0
116413, 0, 0
117040, 0, 0
117667, 0, 0
118306, 0, 0
118933, 0, 0
119560, 0, 0
120198, 0, 0
120837, 0, 0
