BPM_CALMO: 96
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
81, 0, 0
755, 0, 0
1416, 0, 0
2078, 0, 0
2728, 0, 0
3297, 0, 0
3866, 0, 0
4435, 0, 0
5178, 0, 0
5828, 0, 0
6467, 0, 0
7105, 0, 0
7674, 0, 0
8278, 0, 0
8870, 0, 0
9520, 0, 0
10194, 0, 0
10867, 0, 0
11529, 0, 0
12167, 0, 0
12806, 0, 0
13421, 0, 0
14036, 0, 0
14640, 0, 0
15197, 0, 0
15813, 0, 0
16417, 0, 0
17020, 0, 0
17624, 0, 0
18251, 0, 0
18878, 0, 0
19482, 0, 0
20108, 0, 0
20724, 0, 0
21351, 0, 0
21978, 0, 0
22593, 0, 0
23220, 0, 0
23847, 0, 0
24474, 0, 0
25101, 0, 0
25728, 0, 0
26355, 0, 0
26982, 0, 0
27597, 0, 0
28224, 0, 0
28851, 0, 0
29478, 0, 0
30105, 0, 0
30720, 0, 0
31347, 0, 0
31974, 0, 0
32589, 0, 0
33228, 0, 0
33855, 0, 0
34470, 0, 0
35097, 0, 0
35724, 0, 0
36362, 0, 0
36978, 0, 0
37581, 0, 0
38220, 0, 0
38847, 0, 0
39474, 0, 0
40101, 0, 0
40728, 0, 0
41355, 0, 0
41970, 0, 0
42597, 0, 0
43224, 0, 0
43851, 0, 0
44466, 0, 0
45093, 0, 0
45720, 0, 0
46359, 0, 0
46974, 0, 0
47601, 0, 0
48228, 0, 0
48855, 0, 0
49470, 0, 0
50097, 0, 0
50724, 0, 0
51351, 0, 0
51966, 0, 0
52605, 0, 0
53220, 0, 0
53859, 0, 0
54474, 0, 0
55101, 0, 0
55728, 0, 0
56366, 0, 0
56970, 0, 0
57597, 0, 0
58224, 0, 0
58839, 0, 0
59466, 0, 0
60116, 0, 0
60767, 0, 0
61382, 0, 0
62009, 0, 0
62659, 0, 0
63332, 0, 0
63959, 0, 0
64598, 0, 0
65248, 0, 0
65875, 0, 0
66456, 0, 0
67094, 0, 0
67779, 0, 0
68383, 0, 0
68975, 0, 0
69590, 0, 0
70252, 0, 0
70867, 0, 0
71610, 0, 0
72260, 0, 0
72876, 0, 0
73514, 0, 0
74153, 0, 0
74780, 0, 0
75395, 0, 0
76045, 0, 0
76696, 0, 0
77404, 0, 0
78007, 0, 0
78611, 0, 0
79261, 0, 0
79853, 0, 0
80469, 0, 0
81072, 0, 0
81641, 0, 0
82245, 0, 0
82814, 0, 0
83406, 0, 0
83987, 0, 0
84590, 0, 0
85206, 0, 0
85775, 0, 0
86518, 0, 0
87156, 0, 0
87783, 0, 0
88352, 0, 0
88967, 0, 0
89606, 0, 0
90221, 0, 0
90836, 0, 0
91429, 0, 0
91997, 0, 0
92601, 0, 0
93251, 0, 0
93855, 0, 0
94470, 0, 0
95086, 0, 0
95759, 0, 0
96432, 0, 0
97036, 0, 0
97593, 0, 0
98209, 0, 0
98836, 0, 0
99463, 0, 0
100090, 0, 0
100717, 0, 0
101343, 0, 0
101970, 0, 0
102586, 0, 0
103224, 0, 0
103851, 0, 0
104478, 0, 0
105094, 0, 0
105720, 0, 0
106336, 0, 0
106974, 0, 0
107601, 0, 0
108228, 0, 0
108855, 0, 0
109470, 0, 0
110097, 0, 0
110724, 0, 0
111340, 0, 0
111967, 0, 0
112594, 0, 0
113220, 0, 0
113836, 0, 0
114474, 0, 0
115101, 0, 0
115728, 0, 0
116355, 0, 0
116971, 0, 0
117586, 0, 0
118224, 0, 0
118851, 0, 0
119467, 0, 0
120012, 0, 0
120721, 0, 0
121347, 0, 0
121974, 0, 0
122601, 0, 0
123217, 0, 0
123844, 0, 0
124482, 0, 0
125098, 0, 0
125724, 0, 0
126351, 0, 0
126978, 0, 0
127605, 0, 0
128221, 0, 0
128848, 0, 0
129486, 0, 0
130101, 0, 0
130717, 0, 0
131344, 0, 0
131971, 0, 0
132598, 0, 0
133224, 0, 0
133840, 0, 0
134478, 0, 0
135094, 0, 0
135721, 0, 0
136348, 0, 0
136975, 0, 0
137590, 0, 0
138252, 0, 0
138948, 0, 0
139587, 0, 0
140179, 0, 0
140783, 0, 0
141375, 0, 0
141978, 0, 0
142582, 0, 0
143093, 0, 0
143627, 0, 0
144161, 0, 0
144788, 0, 0
145415, 0, 0
146042, 0, 0
146657, 0, 0
147284, 0, 0
147911, 0, 0
148538, 0, 0
149165, 0, 0
149780, 0, 0
150407, 0, 0
151034, 0, 0
151661, 0, 0
152288, 0, 0
152915, 0, 0
153542, 0, 0
154157, 0, 0
154784, 0, 0
155411, 0, 0
156038, 0, 0
156665, 0, 0
157292, 0, 0
157907, 0, 0
158534, 0, 0
159161, 0, 0
159788, 0, 0
160415, 0, 0
161030, 0, 0
161657, 0, 0
162191, 0, 0
162714, 0, 0
163225, 0, 0
163852, 0, 0
164467, 0, 0
165094, 0, 0
165721, 0, 0
166359, 0, 0
166975, 0, 0
167602, 0, 0
168229, 0, 0
168856, 0, 0
169471, 0, 0
170098, 0, 0
170725, 0, 0
171352, 0, 0
171979, 0, 0
172594, 0, 0
173221, 0, 0
173848, 0, 0
174475, 0, 0
175102, 0, 0
175729, 0, 0
176344, 0, 0
176971, 0, 0
177598, 0, 0
178225, 0, 0
178852, 0, 0
179467, 0, 0
180094, 0, 0
180721, 0, 0
181348, 0, 0
181975, 0, 0
