BPM_CALMO: 98
# Estrutura: TEMPO(ms), TIPO, POSICAO
NOTAS:
163, 0, 0
789, 0, 0
1405, 0, 0
2032, 0, 0
2647, 0, 0
3262, 0, 0
3889, 0, 0
4505, 0, 0
5120, 0, 0
5735, 0, 0
6362, 0, 0
6978, 0, 0
7593, 0, 0
8208, 0, 0
8835, 0, 0
9451, 0, 0
10066, 0, 0
10693, 0, 0
11308, 0, 0
11923, 0, 0
12539, 0, 0
13166, 0, 0
13781, 0, 0
14396, 0, 0
15012, 0, 0
15639, 0, 0
16254, 0, 0
16869, 0, 0
17485, 0, 0
18112, 0, 0
18727, 0, 0
19342, 0, 0
19958, 0, 0
20584, 0, 0
21200, 0, 0
21815, 0, 0
22442, 0, 0
23057, 0, 0
23673, 0, 0
24300, 0, 0
24915, 0, 0
25530, 0, 0
26157, 0, 0
26773, 0, 0
27388, 0, 0
28003, 0, 0
28630, 0, 0
29246, 0, 0
29861, 0, 0
30488, 0, 0
31103, 0, 0
31718, 0, 0
32334, 0, 0
32949, 0, 0
33576, 0, 0
34191, 0, 0
34807, 0, 0
35434, 0, 0
36049, 0, 0
36664, 0, 0
37280, 0, 0
37907, 0, 0
38522, 0, 0
39137, 0, 0
39753, 0, 0
40380, 0, 0
40995, 0, 0
41622, 0, 0
42225, 0, 0
42852, 0, 0
43468, 0, 0
44095, 0, 0
44710, 0, 0
45325, 0, 0
45941, 0, 0
46568, 0, 0
47171, 0, 0
47798, 0, 0
48414, 0, 0
49041, 0, 0
49656, 0, 0
50271, 0, 0
50898, 0, 0
51513, 0, 0
52129, 0, 0
52756, 0, 0
53371, 0, 0
53986, 0, 0
54602, 0, 0
55229, 0, 0
55844, 0, 0
56459, 0, 0
57075, 0, 0
57702, 0, 0
58317, 0, 0
58932, 0, 0
59548, 0, 0
60175, 0, 0
60790, 0, 0
61405, 0, 0
62032, 0, 0
62647, 0, 0
63263, 0, 0
63878, 0, 0
64505, 0, 0
65120, 0, 0
65736, 0, 0
66363, 0, 0
66978, 0, 0
67593, 0, 0
68209, 0, 0
68836, 0, 0
69451, 0, 0
70066, 0, 0
70682, 0, 0
71308, 0, 0
71924, 0, 0
72539, 0, 0
73166, 0, 0
73781, 0, 0
74397, 0, 0
75012, 0, 0
75639, 0, 0
76254, 0, 0
76870, 0, 0
77497, 0, 0
78112, 0, 0
78727, 0, 0
79343, 0, 0
79970, 0, 0
80585, 0, 0
81200, 0, 0
81827, 0, 0
82442, 0, 0
83058, 0, 0
83673, 0, 0
84300, 0, 0
84915, 0, 0
85531, 0, 0
86146, 0, 0
86773, 0, 0
87388, 0, 0
88004, 0, 0
88631, 0, 0
89246, 0, 0
89861, 0, 0
90477, 0, 0
91103, 0, 0
91719, 0, 0
92334, 0, 0
92961, 0, 0
93576, 0, 0
94192, 0, 0
94807, 0, 0
95422, 0, 0
96049, 0, 0
96665, 0, 0
97292, 0, 0
97907, 0, 0
98522, 0, 0
99138, 0, 0
99753, 0, 0
100380, 0, 0
100995, 0, 0
101611, 0, 0
102237, 0, 0
102853, 0, 0
103468, 0, 0
104095, 0, 0
104710, 0, 0
105326, 0, 0
105941, 0, 0
106568, 0, 0
107183, 0, 0
107799, 0, 0
108426, 0, 0
109041, 0, 0
109656, 0, 0
110272, 0, 0
110899, 0, 0
111514, 0, 0
112129, 0, 0
112744, 0, 0
113371, 0, 0
113987, 0, 0
114602, 0, 0
115217, 0, 0
115844, 0, 0
116460, 0, 0
117075, 0, 0
117702, 0, 0
118317, 0, 0
118944, 0, 0
119560, 0, 0
120175, 0, 0
120790, 0, 0
121406, 0, 0
122032, 0, 0
122648, 0, 0
123263, 0, 0
123878, 0, 0
124505, 0, 0
125121, 0, 0
125736, 0, 0
126351, 0, 0
126978, 0, 0
127594, 0, 0
128209, 0, 0
128824, 0, 0
129451, 0, 0
130067, 0, 0
130682, 0, 0
131309, 0, 0
131924, 0, 0
132540, 0, 0
133155, 0, 0
133782, 0, 0
134397, 0, 0
135012, 0, 0
135639, 0, 0
136255, 0, 0
136870, 0, 0
137497, 0, 0
138112, 0, 0
138728, 0, 0
139343, 0, 0
139970, 0, 0
140585, 0, 0
141201, 0, 0
141816, 0, 0
142431, 0, 0
143058, 0, 0
143673, 0, 0
144300, 0, 0
144916, 0, 0
145531, 0, 0
146146, 0, 0
146773, 0, 0
147389, 0, 0
148004, 0, 0
148631, 0, 0
149246, 0, 0
149862, 0, 0
150477, 0, 0
151104, 0, 0
151719, 0, 0
152335, 0, 0
152961, 0, 0
153577, 0, 0
154192, 0, 0
154807, 0, 0
155434, 0, 0
156050, 0, 0
156665, 0, 0
157280, 0, 0
157907, 0, 0
158523, 0, 0
159138, 0, 0
159753, 0, 0
160380, 0, 0
160996, 0, 0
161611, 0, 0
162226, 0, 0
162853, 0, 0
163468, 0, 0
164084, 0, 0
